,company,Founded Date,website,Headquarters Location,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,founding_year,org_uuid,snapshot_in_window
49,Maroo,2020-01-01,https://www.maroo.us/,"New York, New York, United States","Community and Lifestyle, Events, Financial Services, Information Technology, Media and Entertainment, Payments",3.0,Seed,2023-04-01,,Seed,3825000.0,Private,,,,,,3,2020,5000,False
51,Dassana,2020-07-23,https://dassana.io,"San Jose, California, United States","Information Technology, Privacy and Security, Software",2.0,Seed,2022-04-21,5000000.0,Seed,5000000.0,Private,,,,,,3,2020,5001,False
52,Yieldeasy,2023-01-01,https://www.yieldeasy.com,"Philadelphia, Pennsylvania, United States","Commerce and Shopping, Financial Services, Real Estate",1.0,Seed,2022-06-13,100000.0,Seed,100000.0,Private,,,,,,0,2023,5002,False
57,DRiP,2023-01-01,https://drip.haus,"Chicago, Illinois, United States","Blockchain and Cryptocurrency, Other",1.0,Seed,2023-08-28,3000000.0,Seed,3000000.0,Private,,,,,,0,2023,5003,False
59,Precog Data,2020-01-01,https://precog.com/,"Boulder, Colorado, United States","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",3.0,Seed,2023-09-27,2320000.0,Seed,3820000.0,Private,,,,,,3,2020,5004,False
60,Relay Robotics,2022-01-01,https://www.relayrobotics.com/,"San Jose, California, United States","Hardware, Science and Engineering, Software",1.0,Early Stage Venture,2022-05-02,10000000.0,Series A,10000000.0,Private,,,,,,1,2022,5005,False
65,Flieber,2019-01-01,https://flieber.com,"New York, New York, United States","Commerce and Shopping, Hardware, Software, Transportation",4.0,Early Stage Venture,2021-09-22,12000000.0,Series A,19350000.0,Private,,,,,,4,2019,5006,False
66,Lendai,2019-06-01,https://www.lendai.us/,"Miami, Florida, United States","Financial Services, Real Estate",4.0,Seed,2022-03-09,35000000.0,Seed,37050000.0,Private,,,,,,4,2019,5007,False
67,Finta,2022-01-01,https://www.finta.com,"San Francisco, California, United States","Financial Services, Professional Services, Software",3.0,Seed,2023-04-01,2000000.0,Seed,2125000.0,Private,,,,,,1,2022,5008,False
69,CIPIO.ai,2019-06-01,https://cipio.ai/,"Redwood City, California, United States","Advertising, Artificial Intelligence, Commerce and Shopping, Data and Analytics, Hardware, Sales and Marketing, Science and Engineering, Software",3.0,Seed,2022-01-01,,Seed,4085000.0,Private,,,,,,4,2019,5009,False
70,In-Seam,2020-01-01,https://www.in-seam.com,"New York, New York, United States","Administrative Services, Commerce and Shopping, Hardware, Internet Services, Media and Entertainment, Mobile, Software",4.0,Seed,2023-08-14,1900000.0,Pre-Seed,2020000.0,Private,,,,,,3,2020,5010,False
72,EV Realty,2021-01-01,https://www.evrealtyus.com,"San Francisco, California, United States","Energy, Real Estate, Transportation",1.0,,2022-11-15,28000000.0,Debt Financing,28000000.0,Private,,,,,,2,2021,5011,False
73,GameTree,2019-01-01,https://gametree.me,"Los Angeles, California, United States","Artificial Intelligence, Community and Lifestyle, Data and Analytics, Gaming, Science and Engineering, Software",2.0,Seed,2022-10-31,1300000.0,Seed,1850000.0,Private,,,,,,4,2019,5012,False
79,Amply Power,2018-01-01,https://www.amplypower.com/,"Mountain View, California, United States","Energy, Sustainability, Transportation",4.0,M&A,2020-04-28,13200000.0,Series A,16400000.0,Private,,,6.0,0.0,,5,2018,5013,False
80,B9,2021-02-01,https://bnine.com,"San Francisco, California, United States",Information Technology,5.0,Seed,2022-07-29,2600000.0,Seed,11150000.0,Private,,,,,,2,2021,5014,False
82,ilumed,2018-01-01,https://www.ilumed.com/,"Jupiter, Florida, United States",Health Care,1.0,Early Stage Venture,2021-12-15,16500000.0,Series A,16500000.0,Private,,,,,,5,2018,5015,False
83,Equii,2021-01-01,https://equii.com/,"San Ramon, California, United States","Food and Beverage, Health Care",1.0,Seed,2022-09-30,6000000.0,Seed,6000000.0,Private,,,1.0,1.0,,2,2021,5016,False
84,Linear,2019-01-01,https://linear.app/,"San Francisco, California, United States","Consumer Electronics, Hardware, Software",3.0,Early Stage Venture,2023-09-14,35000000.0,Series B,52200000.0,Private,,,5.0,14.0,Electric Communication Technique,4,2019,5017,False
85,Quark.ai,2019-03-01,https://www.quark.ai,"Santa Clara, California, United States",Software,2.0,Seed,2022-09-05,2500000.0,Seed,8000000.0,Private,,,,,,4,2019,5018,False
87,Eastern Standard Times,2020-01-01,https://www.easternstandardtimes.com,"West Hollywood, California, United States","Internet Services, Media and Entertainment, Video",2.0,,2022-09-19,26070417.0,Venture - Series Unknown,32570417.0,Private,,,,,,3,2020,5019,False
88,Rundoo,2021-01-01,https://www.getrundoo.com/,"Redwood City, California, United States","Commerce and Shopping, Real Estate, Software",3.0,Seed,2022-08-01,5000000.0,Seed,5000000.0,Private,,,,,,2,2021,5020,False
89,Outgo Inc,2021-03-03,https://www.outgo.co,"Seattle, Washington, United States","Financial Services, Software, Transportation",2.0,Seed,2022-08-11,149998.0,Seed,3549998.0,Private,,,,,,2,2021,5021,False
91,Tabler,2019-10-04,http://www.tablerapp.com,"Wilmington, Delaware, United States","Apps, Community and Lifestyle, Events, Food and Beverage, Internet Services, Media and Entertainment, Mobile, Software, Travel and Tourism",5.0,Seed,2023-06-01,50000.0,Seed,433350.0,Private,,,0.0,3.0,,4,2019,5022,False
92,Civitech,2019-01-01,https://civitech.io/,"Austin, Texas, United States","Government and Military, Information Technology, Other, Software",2.0,Early Stage Venture,2022-01-11,10000000.0,Series A,23118113.0,Private,,,0.0,3.0,,4,2019,5023,False
94,Grey,2020-07-01,https://grey.co,"Middletown, Delaware, United States",Financial Services,3.0,Seed,2022-08-29,2000000.0,Seed,2500000.0,Private,,,0.0,0.0,,3,2020,5024,False
95,Keyavi Data,2020-05-01,https://www.keyavi.com/,"Durango, Colorado, United States","Information Technology, Privacy and Security",2.0,Early Stage Venture,2022-08-03,13000000.0,Series A,21300000.0,Private,,,,,,3,2020,5025,False
100,Baton Market,2021-01-01,https://batonmarket.com/,"Richmond, Massachusetts, United States","Information Technology, Professional Services, Software",2.0,Seed,2023-03-01,,Seed,2800000.0,Private,,,,,,2,2021,5026,False
101,Dynamic Labs,2021-12-01,https://www.dynamic.xyz/,"Palo Alto, California, United States",Software,1.0,Seed,2022-06-28,7500000.0,Seed,7500000.0,Private,,,,,,2,2021,5027,False
105,Trebellar,2022-01-01,https://trebellar.com/,"San Francisco, California, United States","Professional Services, Real Estate",1.0,Seed,2023-07-12,3500000.0,Seed,3500000.0,Private,,,,,,1,2022,5028,False
107,GigXR,2019-03-21,https://www.gigxr.com/,"Los Angeles, California, United States","Consumer Electronics, Hardware, Health Care, Software",2.0,,2022-01-18,,Corporate Round,3500000.0,Private,,,,,,4,2019,5029,False
113,Tandem,2019-10-04,https://www.join-tandem.com/,"Columbus, Ohio, United States","Education, Health Care, Software",2.0,Seed,2023-04-06,5000000.0,Seed,10000000.0,Private,,,,,,4,2019,5030,False
114,Prolocor,2020-01-01,https://prolocor.com,"Philadelphia, Pennsylvania, United States","Biotechnology, Health Care, Science and Engineering",2.0,Seed,2022-08-16,3200000.0,Seed,5200000.0,Private,,,,,,3,2020,5031,False
120,IAMBIC,2020-01-01,https://www.iambic.co/,"New York, New York, United States","Artificial Intelligence, Clothing and Apparel, Commerce and Shopping, Consumer Goods, Data and Analytics, Design, Hardware, Science and Engineering, Software",2.0,,2023-07-26,,Non-equity Assistance,256000.0,Private,,,,,,3,2020,5032,False
122,Virdee Inc.,2020-04-01,https://virdee.co/,"Austin, Texas, United States","Apps, Information Technology, Mobile, Software",3.0,Seed,2022-03-01,5000000.0,Seed,9000000.0,Private,,,,,,3,2020,5033,False
128,Magic Spoon,2019-01-01,https://magicspoon.com/,"Brooklyn, New York, United States","Food and Beverage, Sales and Marketing",3.0,Early Stage Venture,2022-06-13,106323115.0,Series B,120823111.0,Private,,,0.0,4.0,,4,2019,5034,False
129,Tangibly,2021-01-01,https://www.tangibly.com/,"Seattle, Washington, United States","Information Technology, Professional Services",3.0,Seed,2023-07-11,8407492.0,Seed,10407492.0,Private,,,,,,2,2021,5035,False
131,Shibuya,2022-01-01,https://www.shibuya.xyz/,"New York, New York, United States","Blockchain and Cryptocurrency, Design, Media and Entertainment, Other, Software, Video",1.0,Seed,2022-12-08,6900000.0,Seed,6900000.0,Private,,,,,,1,2022,5036,False
133,Aurva,2023-01-29,http://aurva.io/,"Sunnyvale, California, United States","Information Technology, Privacy and Security, Professional Services, Software",1.0,,2023-04-21,2149997.0,Venture - Series Unknown,2149997.0,Private,,,,,,0,2023,5037,False
137,Credo,2021-11-01,https://www.credohealth.com,"Denver, Colorado, United States",Health Care,1.0,Seed,2022-03-07,3000000.0,Seed,3000000.0,Private,,,,,,2,2021,5038,False
140,Sera Systems,2018-01-01,https://sera.tech,"Grapevine, Texas, United States","Apps, Other, Real Estate, Software",2.0,Early Stage Venture,2023-05-23,,Series B,11700000.0,Private,,,,,,5,2018,5039,False
141,Decimal,2020-01-01,https://www.decimal.com/,"Indianapolis, Indiana, United States","Financial Services, Information Technology, Other, Professional Services",1.0,Seed,2022-04-01,9169988.0,Seed,9169988.0,Private,,,0.0,1.0,,3,2020,5040,False
143,CoverForce,2020-01-01,https://www.coverforce.com,"New York, New York, United States","Financial Services, Software",1.0,Seed,2022-01-01,5000000.0,Seed,5000000.0,Private,,,,,,3,2020,5041,False
144,Truist,2019-01-01,https://www.truist.com,"Charlotte, North Carolina, United States","Financial Services, Lending and Investments",1.0,Seed,2021-01-01,,Seed,,Private,,,,,,4,2019,5042,False
145,Datalogz,2020-03-22,https://www.datalogz.io/,"Queens, New York, United States","Data and Analytics, Software",1.0,Seed,2023-02-28,2089999.0,Seed,2089999.0,Private,,,,,,3,2020,5043,False
157,Greg,2020-03-30,https://greg.app,"New York, New York, United States","Apps, Mobile, Real Estate, Software",1.0,Seed,2021-05-27,5400000.0,Seed,5400000.0,Private,,,,,,3,2020,5044,False
158,AI Insurance,2018-10-01,https://www.aiinsurance.io,"San Francisco, California, United States","Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",3.0,Seed,2022-03-01,3800000.0,Seed,4950000.0,Private,,,0.0,3.0,,5,2018,5045,False
163,Boddle,2018-02-01,http://boddlelearning.com,"Tulsa, Oklahoma, United States",Education,8.0,Seed,2022-09-23,3000000.0,Seed,5550000.0,Private,,,0.0,2.0,,5,2018,5046,False
167,"Salt Labs, Inc.",2022-01-01,https://saltlabs.com,"New York, New York, United States","Administrative Services, Financial Services, Payments, Sales and Marketing",1.0,Seed,2023-03-29,10000000.0,Pre-Seed,10000000.0,Private,,,,,,1,2022,5047,False
