,company,Founded Date,website,Headquarters Location,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,founding_year,org_uuid,snapshot_in_window
930,Atom Bioworks,2020-01-01,https://atombioworks.com/,"Cary, North Carolina, United States","Biotechnology, Health Care, Science and Engineering",9.0,Seed,2022-07-20,998507.0,Grant,6476892.0,Private,,,2.0,0.0,,3,2020,11161,False
934,Mirrorful,2023-01-01,https://mirrorful.io,"San Francisco, California, United States",Software,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,Private,,,,,,0,2023,11162,False
937,EdgeBit,2022-01-01,https://edgebit.io,"San Mateo, California, United States","Information Technology, Privacy and Security, Software",1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,Private,,,,,,1,2022,11163,False
940,Goat Capital,2020-01-01,https://goat.vc,"San Francisco, California, United States","Financial Services, Lending and Investments, Professional Services",,,,,,,Private,,,,,,3,2020,11164,False
941,Unknot.id,2020-01-01,https://www.unknot.id,"Orlando, Florida, United States","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",5.0,Seed,2022-05-01,1099900.0,Seed,1856368.0,Private,,,,,,3,2020,11165,False
948,Jamm,2019-01-01,https://jamm.app,"San Francisco, California, United States","Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Other, Software, Video",1.0,M&A,2020-08-07,1800000.0,Seed,1800000.0,Private,,,,,,4,2019,11166,False
953,Manetu,2019-01-01,https://www.manetu.com/,"Ridgewood, New Jersey, United States","Information Technology, Other, Privacy and Security",4.0,Seed,2021-12-17,,Non-equity Assistance,5872225.0,Private,,,1.0,1.0,Computing; Calculating,4,2019,11167,False
6,Time Therapeutics,2018-01-01,https://timethera.com/,"New York, New York, United States","Biotechnology, Health Care, Science and Engineering",1.0,Seed,2020-09-30,5058000.0,Seed,5058000.0,Private,,,0,1.0,,5,2018,11168,False
11,Analytica Biosciences,2023-08-10,https://anabio.xyz,"Naples, Florida, United States","Biotechnology, Health Care, Information Technology, Science and Engineering",1.0,Seed,2023-09-19,10000.0,Seed,10000.0,Private,,,,,,0,2023,11169,False
13,Gensaic,2021-01-01,https://www.gensaic.com,"Cambridge, Massachusetts, United States",Health Care,1.0,,2023-01-09,3500000.0,Grant,3500000.0,Private,,,,,,2,2021,11170,False
16,Oii,2019-01-01,https://www.oii.ai/,"Oakland, California, United States","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software, Transportation",1.0,Seed,2023-06-02,1850000.0,Seed,1850000.0,Private,,,1,0.0,Computing; Calculating,4,2019,11171,False
