,company,Founded Date,website,Headquarters Location,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,founding_year,org_uuid,snapshot_in_window
487,Hyper,2020-01-01,https://www.hyper.online,"San Francisco, California, United States","Apps, Information Technology, Internet Services, Messaging and Telecommunications, Software",3.0,Seed,2023-06-06,3600000.0,Seed,3600000.0,Private,,,,,,3,2020,4000,False
489,Bonside,2020-01-01,https://bonside.com/,"Chicago, Illinois, United States","Financial Services, Professional Services",3.0,Seed,2023-06-07,4350000.0,Seed,4350000.0,Private,,,,,,3,2020,4001,False
491,Cubist,2022-01-01,https://cubist.dev,"San Diego, California, United States","Blockchain and Cryptocurrency, Other, Software",1.0,Seed,2023-03-09,7000000.0,Seed,7000000.0,Private,,,,,,1,2022,4002,False
493,Candu,2019-01-01,https://www.candu.ai,"San Francisco, California, United States","Data and Analytics, Design, Other, Software",4.0,Seed,2020-12-10,5000000.0,Seed,7450000.0,Private,,,,,,4,2019,4003,False
497,ElectroTempo,2020-01-01,https://www.electrotempo.com/,"Arlington, Virginia, United States","Other, Professional Services, Software, Transportation",2.0,Seed,2023-08-16,4999997.0,Seed,5999997.0,Private,,,,,,3,2020,4004,False
511,Mozarc Medical,2023-01-01,https://mozarcmedical.com/,"Minneapolis, Minnesota, United States",Health Care,1.0,,2023-04-17,22399377.0,Venture - Series Unknown,22399377.0,Private,,,232.0,12.0,Medical Or Veterinary Science; Hygiene,0,2023,4005,False
517,Trident Digital,2023-01-01,https://www.tridig.io,"Stamford, Connecticut, United States","Blockchain and Cryptocurrency, Other, Sales and Marketing",1.0,Seed,2023-09-06,8000000.0,Seed,8000000.0,Private,,,,,,0,2023,4006,False
525,Lucra Sports,2019-01-01,http://www.lucrasports.com/,"Palo Alto, California, United States","Gaming, Sports",3.0,Early Stage Venture,2022-03-30,10300000.0,Series A,12100800.0,Private,,,,,,4,2019,4007,False
530,Speechki,2019-01-01,https://speechki.io/,"Austin, Texas, United States","Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",4.0,Seed,2022-06-09,1000000.0,Seed,1801000.0,Private,,,,,,4,2019,4008,False
531,Breeze,2019-01-01,https://www.meetbreeze.com,"Omaha, Nebraska, United States","Financial Services, Information Technology",5.0,,2023-06-14,1444200.0,Venture - Series Unknown,11944200.0,Private,,,,,,4,2019,4009,False
