,text_index,text_id,keyword,position,position_pct
0,1,1,ai,41,5.408970976253298
1,1,1,ai,43,5.672823218997362
2,1,1,ai,84,11.081794195250659
3,1,1,ai,86,11.345646437994723
4,1,1,ai,121,15.963060686015831
5,1,1,ai,277,36.54353562005277
6,1,1,ai,279,36.80738786279684
7,1,1,ai,320,42.21635883905013
8,1,1,ai,322,42.480211081794195
9,1,1,ai,349,46.04221635883905
10,1,1,ai,454,59.894459102902374
11,1,1,ai,468,61.74142480211082
12,1,1,ai,514,67.81002638522428
13,1,1,ai,615,81.13456464379946
14,1,1,ai,625,82.45382585751979
15,1,1,ai,649,85.62005277044855
16,1,1,ai,697,91.95250659630607
17,2,2,ai,260,29.579067121729235
18,2,2,ai,295,33.56086461888509
19,2,2,ai,372,42.32081911262799
20,2,2,ai,843,95.90443686006826
21,3,3,ai,5,0.648508430609598
22,3,3,ai,59,7.652399481193256
23,3,3,ai,112,14.526588845654995
24,3,3,ai,145,18.80674448767834
25,3,3,ai,150,19.45525291828794
26,3,3,ai,154,19.974059662775616
27,3,3,ai,158,20.492866407263293
28,3,3,ai,159,20.622568093385212
29,3,3,ai,203,26.329442282749678
30,3,3,ai,443,57.45784695201037
31,3,3,ai,617,80.02594033722438
32,4,4,ai,40,4.545454545454546
33,4,4,ai,279,31.704545454545453
34,4,4,ai,383,43.52272727272727
35,4,4,ai,433,49.20454545454545
36,4,4,ai,626,71.13636363636363
37,4,4,ai,766,87.04545454545455
38,4,4,ai,794,90.22727272727272
39,5,5,ai,76,30.4
40,5,5,ai,76,30.4
41,5,5,ml,109,43.6
42,5,5,ai,174,69.6
43,6,6,ai,16,1.9801980198019802
44,6,6,ai,46,5.693069306930694
45,6,6,ai,57,7.054455445544554
46,6,6,ai,67,8.292079207920793
47,6,6,ai,98,12.128712871287128
48,6,6,ai,108,13.366336633663368
49,6,6,ai,118,14.603960396039604
50,6,6,ai,120,14.85148514851485
51,6,6,ai,194,24.00990099009901
52,6,6,ai,293,36.26237623762376
53,6,6,ai,321,39.72772277227723
54,6,6,ai,466,57.67326732673267
55,6,6,ai,476,58.91089108910891
56,6,6,ai,486,60.148514851485146
57,6,6,ai,488,60.396039603960396
58,6,6,ai,562,69.55445544554455
59,6,6,ai,661,81.8069306930693
60,8,8,ai,1,0.11904761904761905
61,8,8,ai,9,1.0714285714285714
62,8,8,ai,12,1.4285714285714286
63,8,8,ai,18,2.142857142857143
64,8,8,ai,27,3.214285714285714
65,8,8,ai,29,3.4523809523809526
66,8,8,ai,67,7.976190476190475
67,8,8,ai,69,8.214285714285714
68,8,8,ai,99,11.785714285714285
69,8,8,ai,101,12.023809523809524
70,8,8,ai,144,17.142857142857142
71,8,8,ai,156,18.571428571428573
72,8,8,ai,161,19.166666666666668
73,8,8,ai,167,19.88095238095238
74,8,8,ai,173,20.595238095238095
75,8,8,ai,179,21.30952380952381
76,8,8,ai,185,22.023809523809522
77,8,8,ai,192,22.857142857142858
78,8,8,ai,199,23.69047619047619
79,8,8,ai,231,27.500000000000004
80,8,8,ai,243,28.92857142857143
81,8,8,ai,246,29.28571428571429
82,8,8,ai,295,35.11904761904761
83,8,8,ai,301,35.833333333333336
84,8,8,ai,304,36.19047619047619
85,8,8,ai,306,36.42857142857142
86,8,8,ai,308,36.666666666666664
87,8,8,ai,355,42.26190476190476
88,8,8,ai,376,44.761904761904766
89,8,8,ai,396,47.14285714285714
90,8,8,ai,410,48.80952380952381
91,8,8,ai,414,49.28571428571429
92,8,8,ai,422,50.23809523809524
93,8,8,ai,425,50.595238095238095
94,8,8,ai,431,51.3095238095238
95,8,8,ai,440,52.38095238095239
96,8,8,ai,442,52.61904761904762
97,8,8,ai,480,57.14285714285714
98,8,8,ai,482,57.38095238095238
99,8,8,ai,512,60.952380952380956
100,8,8,ai,515,61.30952380952381
101,8,8,ai,530,63.095238095238095
102,8,8,ai,564,67.14285714285714
103,8,8,ai,595,70.83333333333334
104,8,8,ai,609,72.5
105,8,8,ai,621,73.92857142857143
106,8,8,ai,679,80.83333333333333
107,8,8,ai,684,81.42857142857143
108,8,8,ai,687,81.78571428571428
109,8,8,ai,691,82.26190476190476
110,8,8,ai,696,82.85714285714286
111,8,8,ai,701,83.45238095238095
112,8,8,ai,706,84.04761904761905
113,8,8,ai,713,84.88095238095238
114,8,8,ai,719,85.59523809523809
115,8,8,ai,726,86.42857142857143
116,8,8,ai,736,87.61904761904762
117,8,8,ai,743,88.45238095238095
118,8,8,ai,773,92.02380952380952
119,8,8,ai,785,93.45238095238095
120,8,8,ai,788,93.80952380952381
121,8,8,ai,836,99.52380952380952
122,8,8,ai,844,100.47619047619048
123,9,9,ai,43,4.767184035476718
124,9,9,ai,126,13.968957871396896
125,9,9,ai,283,31.37472283813747
126,9,9,ai,288,31.9290465631929
127,9,9,ai,516,57.20620842572062
128,9,9,ai,624,69.17960088691795
129,9,9,ai,627,69.51219512195121
130,9,9,ai,789,87.47228381374723
131,9,9,ai,824,91.35254988913526
132,9,9,ai,835,92.57206208425721
133,9,9,ai,840,93.12638580931264
134,10,10,ai,27,3.121387283236994
135,10,10,ai,81,9.364161849710982
136,10,10,ai,364,42.08092485549133
137,10,10,ai,482,55.722543352601164
138,10,10,ai,512,59.19075144508671
139,10,10,ai,561,64.85549132947976
140,10,10,ai,673,77.80346820809248
141,10,10,ai,703,81.27167630057804
142,10,10,ai,722,83.46820809248555
143,10,10,ai,745,86.1271676300578
144,10,10,ai,770,89.01734104046243
145,11,11,ai,70,9.446693657219974
146,11,11,ai,85,11.470985155195681
