,Founded Date,Industry Groups,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),age,founding_year,source_x,text_len,closest_snapshot,ai_keyword_count,matched_keywords,Headquarters State,funding_bin,keyword_bin,fund_success,AI_bin,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Last Funding Type ORD,Series_A_bin,Number of Employees ORD
2,2021-08-01,Software,1.0,0.0,0.0,2,2021,0,103.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230104182038/https://promptlayer.com/', 'timestamp': '20230104182038'}",0.0,0,New York,False,False,False,False,False,False,False,True,False,1.0,False,1.0
3,2019-01-01,"Commerce and Shopping, Education, Manufacturing",0.0,0.0,0.0,5,2019,0,7306.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200804084215/https://american-safetyllc.com/', 'timestamp': '20200804084215'}",0.0,0,Louisiana,False,False,False,False,False,True,False,False,False,0.0,False,3.0
4,2020-01-01,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",0.0,0.0,0.0,4,2020,0,195537.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201208225605/https://www.nerdees.com/', 'timestamp': '20201208225605'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,2.0
6,2018-07-06,Real Estate,0.0,0.0,0.0,5,2018,0,1684.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200808111354/https://www.ziegel.es/', 'timestamp': '20200808111354'}",0.0,0,California,False,False,False,False,True,False,False,False,False,0.0,False,3.0
10,2019-08-01,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",0.0,0.0,0.0,4,2019,0,207.0,,0.0,0,California,False,False,False,True,False,True,False,False,False,0.0,False,2.0
11,2020-01-01,Health Care,0.0,0.0,0.0,4,2020,0,22534.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201101084127/https://www.lynchphysicaltherapy.com/', 'timestamp': '20201101084127'}",0.0,0,Maryland,False,False,False,False,False,False,True,False,False,0.0,False,2.0
13,2020-01-31,"Financial Services, Media and Entertainment, Professional Services",1.0,30000.0,30000.0,4,2020,0,60.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210824035620/https://www.squirlfinancial.com/', 'timestamp': '20210824035620'}",0.0,0,Michigan,True,False,False,False,False,False,True,False,False,1.0,False,1.0
14,2021-01-01,"Commerce and Shopping, Events, Food and Beverage, Media and Entertainment",0.0,0.0,0.0,3,2021,0,3137.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211018180246/https://tilldeathdousparty.com/', 'timestamp': '20211018180246'}",0.0,0,Nevada,False,False,False,False,False,False,False,True,False,0.0,False,1.0
22,2021-01-01,"Software, Transportation",1.0,15000000.0,15000000.0,3,2021,0,124.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220102083804/https://depodone.com/', 'timestamp': '20220102083804'}",0.0,0,Delaware,True,False,False,False,False,False,False,True,False,2.0,False,2.0
26,2020-04-01,"Biotechnology, Science and Engineering",1.0,0.0,0.0,3,2020,0,2431.0,,0.0,0,Maryland,False,False,False,False,False,False,True,False,False,2.0,False,1.0
28,2018-07-07,"Media and Entertainment, Other, Social Impact",0.0,0.0,0.0,5,2018,0,26912.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20181225062955/https://www.greatlakescfa.org/', 'timestamp': '20181225062955'}",0.0,0,Michigan,False,False,False,False,True,False,False,False,False,0.0,False,2.0
30,2019-01-01,"Administrative Services, Professional Services, Software",0.0,0.0,0.0,5,2019,0,2502.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200411075136/https://cambiome.com/', 'timestamp': '20200411075136'}",0.0,0,Texas,False,False,False,False,False,True,False,False,False,0.0,False,1.0
31,2020-01-01,"Education, Health Care, Sports",0.0,0.0,0.0,4,2020,0,22663.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220711163713/https://monarchclubs.com/', 'timestamp': '20220711163713'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,2.0
32,2021-01-01,"Internet Services, Media and Entertainment, Sports",0.0,0.0,0.0,3,2021,0,2627.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220403035936/https://www.clubsync.com/', 'timestamp': '20220403035936'}",0.0,0,Texas,False,False,False,False,False,False,False,True,False,0.0,False,2.0
34,2021-03-19,"Internet Services, Sales and Marketing, Software",0.0,0.0,0.0,2,2021,0,3974.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211102170309/https://seomojo.io/', 'timestamp': '20211102170309'}",0.0,0,Delaware,False,False,False,False,False,False,False,True,False,0.0,False,1.0
37,2022-08-29,Software,1.0,0.0,0.0,1,2022,0,980.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230111084016/https://grammable.ai/', 'timestamp': '20230111084016'}",1.0,ai,California,False,True,False,False,False,False,False,False,True,1.0,False,1.0
38,2019-01-01,"Apps, Food and Beverage, Information Technology, Software",0.0,0.0,0.0,5,2019,0,2753.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200929061600/https://orderex.app/', 'timestamp': '20200929061600'}",0.0,0,Missouri,False,False,False,False,False,True,False,False,False,0.0,False,2.0
44,2022-01-01,"Information Technology, Sales and Marketing, Software",0.0,0.0,0.0,2,2022,0,26383.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20240326040853/https://deltainfotek.com/', 'timestamp': '20240326040853'}",16.0,"artificial intelligence, ai",California,False,True,False,False,False,False,False,False,True,0.0,False,2.0
46,2019-01-01,"Advertising, Content and Publishing, Design, Media and Entertainment, Sales and Marketing",0.0,0.0,0.0,5,2019,0,656.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200808121432/https://www.lakesideprintco.com/', 'timestamp': '20200808121432'}",0.0,0,Virginia,False,False,False,False,False,True,False,False,False,0.0,False,1.0
47,2020-01-01,"Education, Information Technology, Internet Services",1.0,9999.0,9999.0,4,2020,0,10174.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201126102448/https://www.xiab.org/', 'timestamp': '20201126102448'}",0.0,0,California,True,False,False,False,False,False,True,False,False,2.0,False,1.0
48,2019-10-16,Health Care,0.0,0.0,0.0,4,2019,0,25298.0,,0.0,0,Florida,False,False,False,False,False,True,False,False,False,0.0,False,2.0
49,2021-01-11,"Science and Engineering, Software, Transportation",0.0,0.0,0.0,3,2021,0,1038.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230312162228/http://dmetuningflorida.com/', 'timestamp': '20230312162228'}",0.0,0,Florida,False,False,False,False,False,False,False,True,False,0.0,False,1.0
51,2020-01-01,"Financial Services, Lending and Investments, Media and Entertainment, Other",0.0,0.0,0.0,4,2020,0,8391.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220112122009/https://www.hmg.capital/', 'timestamp': '20220112122009'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,2.0
52,2019-01-01,"Agriculture and Farming, Sports",0.0,0.0,0.0,5,2019,0,30745.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210311151518/https://deserthorsepark.com/', 'timestamp': '20210311151518'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,3.0
59,2019-08-01,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Internet Services, Payments, Software",0.0,0.0,0.0,4,2019,0,8607.0,,0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
61,2020-01-01,"Health Care, Professional Services",0.0,0.0,0.0,4,2020,0,21921.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210122192923/https://www.goodrootinc.com/', 'timestamp': '20210122192923'}",0.0,0,Connecticut,False,False,False,False,False,False,True,False,False,0.0,False,2.0
63,2020-01-01,"Financial Services, Other",0.0,0.0,0.0,4,2020,0,18839.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220331014033/https://precisionpublicadjusting.com/', 'timestamp': '20220331014033'}",0.0,0,Georgia,False,False,False,False,False,False,True,False,False,0.0,False,3.0
64,2020-01-01,"Advertising, Design, Internet Services, Sales and Marketing",0.0,0.0,0.0,4,2020,0,75639.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201218115922/https://www.curtistimes.com/media/', 'timestamp': '20201218115922'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,1.0
65,2020-06-01,"Content and Publishing, Events, Government and Military, Information Technology, Media and Entertainment, Video",0.0,0.0,0.0,3,2020,0,22749.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201230214336/https://www.invintus.com/', 'timestamp': '20201230214336'}",0.0,0,Washington,False,False,False,False,False,False,True,False,False,0.0,False,1.0
67,2021-02-15,"Design, Sales and Marketing, Software",0.0,0.0,0.0,3,2021,0,29878.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211217221650/https://americandesignersagency.com/', 'timestamp': '20211217221650'}",0.0,0,New Jersey,False,False,False,False,False,False,False,True,False,0.0,False,4.0
68,2019-01-01,"Energy, Media and Entertainment, Natural Resources, Professional Services",0.0,0.0,0.0,5,2019,0,14069.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211214080651/http://oilandgasconsultantmagazine.com/', 'timestamp': '20211214080651'}",0.0,0,Texas,False,False,False,False,False,True,False,False,False,0.0,False,1.0
70,2019-05-01,"Biotechnology, Science and Engineering",0.0,0.0,0.0,4,2019,0,13183.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20191218100803/https://www.pinnaql.co/', 'timestamp': '20191218100803'}",0.0,0,Pennsylvania,False,False,False,False,False,True,False,False,False,0.0,False,2.0
71,2020-04-20,"Energy, Professional Services, Sustainability",0.0,0.0,0.0,3,2020,0,2060.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210125201353/https://cleanenergysocial.com/', 'timestamp': '20210125201353'}",0.0,0,Colorado,False,False,False,False,False,False,True,False,False,0.0,False,1.0
72,2018-06-25,"Science and Engineering, Transportation",0.0,0.0,0.0,5,2018,0,12649.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210125015156/https://www.marinecustomsolutions.com/', 'timestamp': '20210125015156'}",0.0,0,Florida,False,False,False,False,True,False,False,False,False,0.0,False,1.0
73,2019-01-01,"Content and Publishing, Media and Entertainment, Sports, Video",0.0,0.0,0.0,5,2019,0,4902.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200328221816/https://ahnfiredigital.com/', 'timestamp': '20200328221816'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,2.0
75,2022-01-01,Sports,0.0,0.0,0.0,2,2022,0,493990.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230131131728/https://brownsoutdoorworld.com/', 'timestamp': '20230131131728'}",0.0,0,Pennsylvania,False,False,False,False,False,False,False,False,True,0.0,False,1.0
76,2021-01-01,"Events, Media and Entertainment, Travel and Tourism",0.0,0.0,0.0,3,2021,0,15601.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220120184450/https://www.aviatorhotelsuites.com/', 'timestamp': '20220120184450'}",0.0,0,Missouri,False,False,False,False,False,False,False,True,False,0.0,False,2.0
77,2019-11-01,"Financial Services, Lending and Investments",0.0,0.0,0.0,4,2019,0,1870.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201031020020/https://vika-ventures.com/', 'timestamp': '20201031020020'}",0.0,0,New York,False,False,False,False,False,True,False,False,False,0.0,False,1.0
80,2020-01-01,"Information Technology, Privacy and Security, Software",0.0,0.0,0.0,4,2020,0,15222.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201019212509/https://switchbit.com/', 'timestamp': '20201019212509'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,2.0
84,2019-01-01,Transportation,0.0,0.0,0.0,5,2019,0,131.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220322180302/https://outfordeliverydsp.com/', 'timestamp': '20220322180302'}",0.0,0,Illinois,False,False,False,False,False,True,False,False,False,0.0,False,3.0
88,2020-01-01,"Administrative Services, Financial Services, Health Care",0.0,0.0,0.0,4,2020,0,11085.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210224184716/https://www.uplandcapgroup.com/', 'timestamp': '20210224184716'}",0.0,0,Texas,False,False,False,False,False,False,True,False,False,0.0,False,3.0
89,2019-01-01,Food and Beverage,1.0,1500000.0,1500000.0,5,2019,0,19534.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220725165043/https://eatlikeabandit.com/', 'timestamp': '20220725165043'}",0.0,0,Pennsylvania,True,False,False,False,False,True,False,False,False,2.0,False,2.0
90,2022-01-31,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software",0.0,0.0,0.0,2,2022,0,56.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221221164049/https://quasi.market/', 'timestamp': '20221221164049'}",0.0,0,Indiana,False,False,False,True,False,False,False,False,True,0.0,False,1.0
92,2022-11-01,"Blockchain and Cryptocurrency, Commerce and Shopping, Other",0.0,0.0,0.0,1,2022,0,204.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221129202945/http://www.fonsori.com/', 'timestamp': '20221129202945'}",0.0,0,California,False,False,False,False,False,False,False,False,True,0.0,False,1.0
94,2020-07-01,"Consumer Electronics, Real Estate, Software",0.0,0.0,0.0,3,2020,0,4144.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220126130954/https://www.manor.care/', 'timestamp': '20220126130954'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,1.0
96,2019-01-01,"Advertising, Internet Services, Sales and Marketing",0.0,0.0,0.0,5,2019,0,2544.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220810010857/https://www.vortexedinc.com/', 'timestamp': '20220810010857'}",0.0,0,Connecticut,False,False,False,False,False,True,False,False,False,0.0,False,1.0
97,2022-01-01,Information Technology,0.0,0.0,0.0,2,2022,0,88.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211201050918/http://devs.camp/', 'timestamp': '20211201050918'}",0.0,0,South Carolina,False,False,False,False,False,False,False,False,True,0.0,False,1.0
100,2018-06-26,"Mobile, Platforms, Software, Travel and Tourism",0.0,0.0,0.0,5,2018,0,24246.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200807210012/https://tourapp.co/', 'timestamp': '20200807210012'}",0.0,0,California,False,False,False,False,True,False,False,False,False,0.0,False,1.0
102,2020-01-01,"Design, Health Care, Manufacturing, Sales and Marketing",0.0,0.0,0.0,4,2020,0,11329.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210115183603/https://www.personalprotected.com/', 'timestamp': '20210115183603'}",0.0,0,Ohio,False,False,False,False,False,False,True,False,False,0.0,False,2.0
103,2021-01-01,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",0.0,0.0,0.0,3,2021,0,21141.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220720191703/https://getproductize.com/', 'timestamp': '20220720191703'}",0.0,0,Massachusetts,False,False,False,True,False,False,False,True,False,0.0,False,2.0
105,2020-01-01,"Gaming, Internet Services, Media and Entertainment, Professional Services, Sales and Marketing",0.0,0.0,0.0,4,2020,0,2328.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20231130042823/https://www.if7.co/', 'timestamp': '20231130042823'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,2.0
107,2020-01-01,"Biotechnology, Professional Services, Science and Engineering",0.0,0.0,0.0,4,2020,0,7208.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210727125211/https://oneteampartners.com/', 'timestamp': '20210727125211'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,1.0
114,2020-01-01,"Apps, Design, Mobile, Software",0.0,0.0,0.0,4,2020,0,152.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201219023843/https://hostbelly.com/', 'timestamp': '20201219023843'}",0.0,0,New Jersey,False,False,False,False,False,False,True,False,False,0.0,False,1.0
115,2021-01-15,"Apps, Commerce and Shopping, Mobile, Software",1.0,0.0,0.0,3,2021,0,23368.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220802151914/https://joinsavr.com/', 'timestamp': '20220802151914'}",0.0,0,Texas,False,False,False,False,False,False,False,True,False,1.0,False,1.0
116,2021-01-01,"Community and Lifestyle, Professional Services, Sales and Marketing",0.0,0.0,0.0,3,2021,0,13316.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220310001422/https://weraisepr.com/', 'timestamp': '20220310001422'}",0.0,0,New York,False,False,False,False,False,False,False,True,False,0.0,False,1.0
117,2020-01-08,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Manufacturing, Science and Engineering, Software",0.0,0.0,0.0,4,2020,0,249.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201123194229/http://airgo.ai/', 'timestamp': '20201123194229'}",0.0,0,Washington,False,False,False,True,False,False,True,False,False,0.0,False,1.0
118,2019-01-01,"Energy, Information Technology, Transportation",1.0,0.0,0.0,5,2019,0,5606.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211204230222/http://globalenergycredit.com/', 'timestamp': '20211204230222'}",0.0,0,California,False,False,False,False,False,True,False,False,False,1.0,False,1.0
120,2019-01-01,"Information Technology, Other, Sales and Marketing, Software",1.0,0.0,0.0,5,2019,0,9813.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211129200417/https://www.homerunpresales.com/', 'timestamp': '20211129200417'}",0.0,0,California,False,False,False,False,False,True,False,False,False,2.0,False,1.0
123,2019-01-01,"Health Care, Other, Professional Services",0.0,0.0,0.0,5,2019,0,10787.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210121204833/http://medbossconsulting.com/', 'timestamp': '20210121204833'}",0.0,0,Florida,False,False,False,False,False,True,False,False,False,0.0,False,2.0
132,2020-01-01,"Advertising, Data and Analytics, Sales and Marketing",0.0,0.0,0.0,4,2020,0,26356.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210302135058/https://www.reasonautomation.com/', 'timestamp': '20210302135058'}",0.0,0,Washington,False,False,False,False,False,False,True,False,False,0.0,False,1.0
133,2019-01-01,"Financial Services, Media and Entertainment, Professional Services",0.0,0.0,0.0,5,2019,0,2668.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211207174218/https://afamiafinancial.com/', 'timestamp': '20211207174218'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
134,2019-01-01,"Financial Services, Other, Real Estate",0.0,0.0,0.0,5,2019,0,2452.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201217194318/https://www.kingrealestategroup.com/', 'timestamp': '20201217194318'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
137,2020-01-01,"Hardware, Information Technology, Software",0.0,0.0,0.0,4,2020,0,19817.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210127201741/https://www.remotecompany.com/', 'timestamp': '20210127201741'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,4.0
138,2019-01-01,"Financial Services, Real Estate",0.0,0.0,0.0,5,2019,0,11273.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20190724205513/https://www.derbesfalgoust.com/', 'timestamp': '20190724205513'}",0.0,0,Louisiana,False,False,False,False,False,True,False,False,False,0.0,False,1.0
139,2019-01-01,"Financial Services, Real Estate",0.0,0.0,0.0,5,2019,0,13478.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210628115307/https://winterspringcapital.com/', 'timestamp': '20210628115307'}",0.0,0,Massachusetts,False,False,False,False,False,True,False,False,False,0.0,False,1.0
140,2020-01-01,"Education, Other",0.0,0.0,0.0,4,2020,0,33937.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210107165944/https://www.bigselfschool.com/', 'timestamp': '20210107165944'}",0.0,0,Tennessee,False,False,False,False,False,False,True,False,False,0.0,False,1.0
141,2019-01-01,"Commerce and Shopping, Food and Beverage",0.0,0.0,0.0,5,2019,0,16397.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20191012182921/https://www.yumyumshop.com/', 'timestamp': '20191012182921'}",0.0,0,New Hampshire,False,False,False,False,False,True,False,False,False,0.0,False,3.0
142,2020-05-12,"Design, Internet Services, Media and Entertainment",0.0,0.0,0.0,3,2020,0,8751.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201207181533/https://gigvillage.com/', 'timestamp': '20201207181533'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,1.0
143,2018-07-01,"Administrative Services, Financial Services, Information Technology, Other, Payments, Real Estate, Software",0.0,0.0,0.0,5,2018,0,1705.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220120190309/https://www.proofpayments.com/', 'timestamp': '20220120190309'}",0.0,0,Florida,False,False,False,False,True,False,False,False,False,0.0,False,1.0
145,2019-01-01,"Health Care, Media and Entertainment, Music and Audio",0.0,0.0,0.0,5,2019,0,22561.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20190830131710/https://www.hearingcarepartners.com/', 'timestamp': '20190830131710'}",0.0,0,Michigan,False,False,False,False,False,True,False,False,False,0.0,False,1.0
148,2021-01-01,"Data and Analytics, Design, Information Technology, Software",1.0,800000.0,800000.0,3,2021,0,3441.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220527162652/https://www.corq.io/', 'timestamp': '20220527162652'}",0.0,0,California,True,False,False,False,False,False,False,True,False,1.0,False,1.0
155,2020-04-01,Health Care,0.0,0.0,0.0,3,2020,0,27442.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210111012039/https://docbright.com/', 'timestamp': '20210111012039'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,1.0
157,2019-01-01,"Health Care, Professional Services",0.0,0.0,0.0,5,2019,0,6610.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200305195320/https://getzedic.com/', 'timestamp': '20200305195320'}",0.0,0,Connecticut,False,False,False,False,False,True,False,False,False,0.0,False,2.0
159,2020-01-01,"Other, Professional Services, Sports, Travel and Tourism",0.0,0.0,0.0,4,2020,0,18799.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210127154243/https://pellucidtravel.com/', 'timestamp': '20210127154243'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,1.0
161,2020-01-01,"Advertising, Information Technology, Internet Services, Sales and Marketing, Software",0.0,0.0,0.0,4,2020,0,3358.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220103132142/https://www.facebase.io/', 'timestamp': '20220103132142'}",0.0,0,Florida,False,False,False,False,False,False,True,False,False,0.0,False,2.0
163,2019-01-01,"Financial Services, Internet Services, Lending and Investments",0.0,0.0,0.0,5,2019,0,26045.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200927203047/https://tiblio.com/', 'timestamp': '20200927203047'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
167,2019-01-01,"Advertising, Other, Sales and Marketing, Social Impact",0.0,0.0,0.0,5,2019,0,162998.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200305112419/https://paidsearch.org/', 'timestamp': '20200305112419'}",0.0,0,Florida,False,False,False,False,False,True,False,False,False,0.0,False,2.0
168,2021-01-01,Health Care,0.0,0.0,0.0,3,2021,0,21337.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220109163755/https://cornerstonefmclinic.com/', 'timestamp': '20220109163755'}",0.0,0,Missouri,False,False,False,False,False,False,False,True,False,0.0,False,1.0
169,2020-01-01,"Commerce and Shopping, Consumer Goods, Sales and Marketing",0.0,0.0,0.0,4,2020,0,16210.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210307075509/https://strayboards.com/', 'timestamp': '20210307075509'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,1.0
170,2019-01-01,"Advertising, Sales and Marketing",0.0,0.0,0.0,5,2019,0,7169.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201031195714/https://www.obeo.io/', 'timestamp': '20201031195714'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
172,2021-09-06,"Sustainability, Transportation",0.0,0.0,0.0,2,2021,0,2275.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211228210745/http://ultramotor.co/', 'timestamp': '20211228210745'}",0.0,0,California,False,False,False,False,False,False,False,True,False,0.0,False,1.0
174,2021-01-01,"Apps, Mobile, Software",1.0,0.0,0.0,3,2021,0,977.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220204100131/https://titledock.com/', 'timestamp': '20220204100131'}",0.0,0,Washington,False,False,False,False,False,False,False,True,False,1.0,False,1.0
175,2019-01-01,"Administrative Services, Content and Publishing, Media and Entertainment",0.0,0.0,0.0,5,2019,0,25988.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210217143301/https://theusprinting.com/', 'timestamp': '20210217143301'}",0.0,0,Florida,False,False,False,False,False,True,False,False,False,0.0,False,3.0
176,2019-01-01,"Community and Lifestyle, Events, Media and Entertainment, Travel and Tourism",0.0,0.0,0.0,5,2019,0,17141.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200418092542/https://edisonhouseslc.com/', 'timestamp': '20200418092542'}",0.0,0,Utah,False,False,False,False,False,True,False,False,False,0.0,False,2.0
178,2020-01-01,"Information Technology, Internet Services, Software",0.0,0.0,0.0,4,2020,0,17998.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210223063944/https://www.xpresstechfreight.com/', 'timestamp': '20210223063944'}",0.0,0,Tennessee,False,False,False,False,False,False,True,False,False,0.0,False,5.0
179,2021-01-01,"Information Technology, Manufacturing, Other, Transportation",0.0,0.0,0.0,3,2021,0,1775.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220111030643/https://www.goodfruitgrows.com/', 'timestamp': '20220111030643'}",0.0,0,Tennessee,False,False,False,False,False,False,False,True,False,0.0,False,2.0
181,2022-09-01,Health Care,0.0,0.0,0.0,1,2022,0,14005.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221206210958/https://anteloperecovery.com/', 'timestamp': '20221206210958'}",0.0,0,Colorado,False,False,False,False,False,False,False,False,True,0.0,False,1.0
182,2018-08-30,"Financial Services, Lending and Investments, Software",0.0,0.0,0.0,5,2018,0,20033.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201126151745/https://www.intellectualdigitalcorp.io/', 'timestamp': '20201126151745'}",0.0,0,New York,False,False,False,False,True,False,False,False,False,0.0,False,2.0
184,2019-01-01,"Community and Lifestyle, Information Technology, Professional Services, Software",0.0,0.0,0.0,5,2019,0,21247.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200809031119/https://pulseasync.com/', 'timestamp': '20200809031119'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
