,Founded Date,Industry Groups,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),age,founding_year,source_x,text_len,closest_snapshot,ai_keyword_count,matched_keywords,Headquarters State,funding_bin,keyword_bin,fund_success,AI_bin,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Last Funding Type ORD,Series_A_bin,Number of Employees ORD
3140,2019-07-04,Health Care,0.0,0.0,0.0,4,2019,0,5193.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200308234721/https://www.teledaddy.com/', 'timestamp': '20200308234721'}",0.0,0,Florida,False,False,False,False,False,True,False,False,False,0.0,False,2.0
3141,2020-01-01,"Data and Analytics, Design, Health Care, Manufacturing",0.0,0.0,0.0,4,2020,0,1153.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220420225343/https://pivotalbiologics.com/', 'timestamp': '20220420225343'}",0.0,0,Texas,False,False,False,False,False,False,True,False,False,0.0,False,2.0
3145,2020-01-01,"Health Care, Media and Entertainment, Professional Services",0.0,0.0,0.0,4,2020,0,10858.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220201210143/https://www.hivestrongempower.com/', 'timestamp': '20220201210143'}",0.0,0,Florida,False,False,False,False,False,False,True,False,False,0.0,False,1.0
3146,2022-03-03,"Information Technology, Software",0.0,0.0,0.0,2,2022,0,254004.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230316171713/https://www.perwatch.com/', 'timestamp': '20230316171713'}",0.0,0,Delaware,False,False,False,False,False,False,False,False,True,0.0,False,1.0
3149,2021-01-01,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other",0.0,0.0,0.0,3,2021,0,8660.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220206161438/https://kosciuskoconnect.com/', 'timestamp': '20220206161438'}",0.0,0,Indiana,False,False,False,False,False,False,False,True,False,0.0,False,2.0
3150,2020-01-01,Health Care,0.0,0.0,0.0,4,2020,0,37331.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220803205721/https://www.auryon-system.com/', 'timestamp': '20220803205721'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,6.0
3153,2021-01-01,Financial Services,0.0,0.0,0.0,3,2021,0,8784.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211218171841/https://asoneig.com/', 'timestamp': '20211218171841'}",0.0,0,Arizona,False,False,False,False,False,False,False,True,False,0.0,False,3.0
3155,2018-08-03,"Biotechnology, Data and Analytics, Information Technology, Science and Engineering, Software",0.0,0.0,0.0,5,2018,0,5311.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200813000618/https://privacysafeguard.co/', 'timestamp': '20200813000618'}",4.0,"machine learning, deep learning, neural network, ai",Ohio,False,True,False,False,True,False,False,False,False,0.0,False,1.0
3156,2020-03-13,"Agriculture and Farming, Energy, Sustainability",0.0,0.0,0.0,4,2020,0,20805.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210303122350/https://www.marinebiomass.com/', 'timestamp': '20210303122350'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,1.0
3157,2020-01-01,"Food and Beverage, Sustainability",0.0,0.0,0.0,4,2020,0,16377.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210115164912/https://justenoughwines.com/', 'timestamp': '20210115164912'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,1.0
3166,2019-08-01,"Content and Publishing, Financial Services, Media and Entertainment",0.0,0.0,0.0,4,2019,0,876.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201021203357/https://www.thisweekinfintech.com/', 'timestamp': '20201021203357'}",0.0,0,New York,False,False,False,False,False,True,False,False,False,0.0,False,1.0
3169,2020-01-01,"Commerce and Shopping, Food and Beverage",0.0,0.0,0.0,4,2020,0,13197.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210103140343/https://tenfoldcoffee.com/', 'timestamp': '20210103140343'}",0.0,0,Texas,False,False,False,False,False,False,True,False,False,0.0,False,1.0
3170,2020-01-01,"Information Technology, Privacy and Security, Professional Services",0.0,0.0,0.0,4,2020,0,1656.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220112092754/https://www.hadarin.io/', 'timestamp': '20220112092754'}",1.0,artificial intelligence,New York,False,True,False,False,False,False,True,False,False,0.0,False,2.0
3171,2018-04-20,"Education, Software",0.0,0.0,0.0,5,2018,0,106.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200923150511/https://www.journeybinder.com/', 'timestamp': '20200923150511'}",0.0,0,California,False,False,False,False,True,False,False,False,False,0.0,False,1.0
3172,2020-01-01,"Administrative Services, Advertising, Sales and Marketing, Software",0.0,0.0,0.0,4,2020,0,105.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220117180057/https://www.helloveneer.com/', 'timestamp': '20220117180057'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,1.0
3175,2020-01-01,"Commerce and Shopping, Information Technology, Internet Services, Professional Services",0.0,0.0,0.0,4,2020,0,2436.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210103233243/https://yourstore.com/', 'timestamp': '20210103233243'}",0.0,0,Texas,False,False,False,False,False,False,True,False,False,0.0,False,1.0
3176,2020-03-05,Other,0.0,0.0,0.0,4,2020,0,1447.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211208044430/https://www.arxenergy.com/', 'timestamp': '20211208044430'}",0.0,0,Texas,False,False,False,False,False,False,True,False,False,0.0,False,2.0
3177,2021-01-01,"Education, Information Technology, Internet Services, Software",0.0,0.0,0.0,3,2021,0,54.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211106020236/https://riysalab.com/', 'timestamp': '20211106020236'}",0.0,0,Texas,False,False,False,False,False,False,False,True,False,0.0,False,2.0
3184,2021-01-01,"Health Care, Other, Professional Services, Social Impact",0.0,0.0,0.0,3,2021,0,2531.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220815003340/https://www.nehsco.org/', 'timestamp': '20220815003340'}",0.0,0,Massachusetts,False,False,False,False,False,False,False,True,False,0.0,False,7.0
3186,2020-01-01,"Advertising, Internet Services, Sales and Marketing",0.0,0.0,0.0,4,2020,0,47777.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210120125847/https://digitalpackages360.com/', 'timestamp': '20210120125847'}",2.0,data mining,Colorado,False,True,False,False,False,False,True,False,False,0.0,False,1.0
3188,2022-01-01,Health Care,0.0,0.0,0.0,2,2022,0,9943.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230119234405/http://www.wmmentalhealth.com/', 'timestamp': '20230119234405'}",0.0,0,Michigan,False,False,False,False,False,False,False,False,True,0.0,False,1.0
3190,2021-01-01,"Energy, Financial Services, Natural Resources",0.0,0.0,0.0,3,2021,0,1208.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220109033838/https://www.citizenenergypartners.com/', 'timestamp': '20220109033838'}",0.0,0,Colorado,False,False,False,False,False,False,False,True,False,0.0,False,2.0
3192,2019-01-01,Consumer Goods,0.0,0.0,0.0,5,2019,0,15291.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20190717185256/https://www.getmademan.com/', 'timestamp': '20190717185256'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
3194,2021-01-01,"Food and Beverage, Health Care",0.0,0.0,0.0,3,2021,0,8467.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230329060029/https://www.hivonutra.com/', 'timestamp': '20230329060029'}",0.0,0,Pennsylvania,False,False,False,False,False,False,False,True,False,0.0,False,1.0
3196,2021-01-01,Software,1.0,99999.0,99999.0,3,2021,0,3167.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221001110609/https://www.mermaidchart.com/', 'timestamp': '20221001110609'}",0.0,0,California,True,False,False,False,False,False,False,True,False,2.0,False,1.0
3197,2020-06-04,"Administrative Services, Other, Software",0.0,0.0,0.0,3,2020,0,5649.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201121194653/https://www.workfeel.io/', 'timestamp': '20201121194653'}",0.0,0,Texas,False,False,False,False,False,False,True,False,False,0.0,False,1.0
3198,2019-01-01,"Administrative Services, Manufacturing, Professional Services, Science and Engineering, Software",0.0,0.0,0.0,5,2019,0,13203.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201030224047/https://fortyoak.com/', 'timestamp': '20201030224047'}",2.0,"ml, machine learning",New York,False,True,False,False,False,True,False,False,False,0.0,False,1.0
3199,2021-01-01,"Commerce and Shopping, Food and Beverage",1.0,2500000.0,2500000.0,3,2021,0,11679.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220102155549/https://www.hisurely.com/', 'timestamp': '20220102155549'}",0.0,0,Texas,True,False,False,False,False,False,False,True,False,2.0,False,1.0
3201,2019-04-01,"Commerce and Shopping, Software, Transportation",0.0,0.0,0.0,4,2019,0,18788.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200411223019/https://logisticsforhire.com/', 'timestamp': '20200411223019'}",0.0,0,New Jersey,False,False,False,False,False,True,False,False,False,0.0,False,1.0
3204,2019-01-01,Travel and Tourism,0.0,0.0,0.0,5,2019,0,267.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210305202844/https://www.joi.guide/', 'timestamp': '20210305202844'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
3208,2019-01-01,"Commerce and Shopping, Community and Lifestyle",0.0,0.0,0.0,5,2019,0,23224.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201101012328/https://www.spleash.com/', 'timestamp': '20201101012328'}",0.0,0,California,False,False,False,False,False,True,False,False,False,0.0,False,1.0
3209,2021-01-01,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",0.0,0.0,0.0,3,2021,0,34965.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220117160201/https://neuton.ai/', 'timestamp': '20220117160201'}",3.0,"feature engineering, neural network, ai",California,False,True,False,True,False,False,False,True,False,0.0,False,2.0
