;nr.;company;Founded Date;website;Headquarters Location;Industry Groups;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount Currency (in USD);Last Funding Type;Total Funding Amount Currency (in USD);IPO Status;IPO Date;Valuation at IPO Currency (in USD);IPqwery - Patents Granted;IPqwery - Trademarks Registered;IPqwery - Most Popular Patent Class;age;founding_year;org_uuid
;408;Photonpharma;01.01.18;https://photonpharmaceuticals.com/;Fort Collins, Colorado, United States;Biotechnology, Health Care, Science and Engineering;1.0;Seed;16.03.22;2907823.0;Seed;2907823.0;Private;;;;;;5;2018;13706
;410;CoLabs;01.01.18;https://www.colabs.com/;Tampa, Florida, United States;Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software;4.0;Seed;15.11.22;2334195.0;Seed;9538529.0;Private;;;;;;5;2018;7976
;416;Just Her Rideshare;01.01.20;https://www.justherrideshare.com;Charlotte, North Carolina, United States;Government and Military, Other, Transportation;2.0;Seed;16.08.23;75000.0;Seed;85000.0;Private;;;0.0;1.0;;3;2020;14387
x;417;Baller Mixed Reality;15.02.21;http://BallerMR.com;Miami Beach, Florida, United States;Artificial Intelligence, Blockchain and Cryptocurrency, Commerce and Shopping, Data and Analytics, Financial Services, Hardware, Internet Services, Media and Entertainment, Other, Payments, Sales and Marketing, Science and Engineering, Software, Sports;2.0;M&A;15.03.22;3000000.0;Seed;3150000.0;Private;;;;;;2;2021;106
x;480;Crossed;15.06.23;https://justcrossed.com;Tampa, Florida, United States;Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Professional Services, Software;1.0;Seed;26.09.23;500000.0;Pre-Seed;500000.0;Private;;;;;;0;2023;9168
x;511;The Naked Market;01.01.19;https://www.thenakedmarket.com;San Francisco, California, United States;Commerce and Shopping, Food and Beverage;2.0;Early Stage Venture;11.11.21;27500000.0;Series A;33500000.0;Private;;;;;;4;2019;4302
x;525;Zuma;15.08.20;https://getzuma.com;San Francisco, California, United States;Artificial Intelligence, Data and Analytics, Information Technology, Real Estate, Sales and Marketing, Science and Engineering, Software;3.0;Seed;19.11.21;6700000.0;Seed;7200000.0;Private;;;;;;3;2020;2580
;589;Brale;01.01.22;https://brale.xyz;Des Moines, Iowa, United States;Blockchain and Cryptocurrency, Other;1.0;Seed;22.02.23;11100000.0;Pre-Seed;11100000.0;Private;;;0.0;0.0;;1;2022;4880
;619;Wild Moose;01.01.23;https://www.wildmoose.ai;San Francisco, California, United States;Information Technology, Software;1.0;Seed;05.04.23;500000.0;Pre-Seed;500000.0;Private;;;;;;0;2023;8962
x;633;Rushable;01.05.20;https://rushable.io;Houston, Texas, United States;Commerce and Shopping, Food and Beverage, Sales and Marketing, Software;2.0;Seed;01.08.21;2000000.0;Seed;2500000.0;Private;;;0.0;1.0;;3;2020;8751
