website,text_len,source,text,type,closest_snapshot,closest_snapshot_time,snapshot_in_window
https://www.gigperformance.com/,4553,crunchbase," GIG Performance | Learn More | Official Site Skip to content Learn More About Contact Meet the Roadkil Superior Performance Roadkil supplies energy directly to the electric motor and or batteries powering the reefer and extending the battery It provides greater performance in mileage and is far superior to the standard ✓ Greater mileage performance ✓ Converts vibrations to power ✓ the power at the same RPM ✓ Easy to install and monitor ✓ % green technology Your Problems Solved Current reefer trailers provide poor fuel efficiency for the trucking industry, contribute extensively to emissions and pollutants and incur significant maintenance Roadkil captures the Our technology for fully electric and hybrid vehicles converts electricity to power the electric motor and recharge batteries on the reefer, increasing the efficiency of your Upgrade to GIG Learn more about our retrofit Learn More About Contact Privacy Press © GIG All Rights   GIG Performance | About | Official Site Skip to content Learn More About Contact Meet GIG Performance Our Passion Is Electric trucks Passenger EVs Wind Energy Tidal Energy Our Team Brandon Barkdull Chief Executive Officer Brandon’s leadership experience stems from a wide breadth of working experience in several Early on, she worked in management cleaning services, fitness training, youth care, and elderly home health She forayed in the automotive industry starting as a customer care service technician and working her way into the auto glass She is also a certified general contractor, specializing in tiling, painting, and custom finish Daria is a passionate leader and also directs a women’s mentoring Jon Woodward President & Inventor Jon is a professional with a background in design engineering and He worked with his brother to install the first successful automated bulk chemical distribution system for etching silicon wafer for Texas Instruments in San Antonio, He manages a auto glass business with multiple Jon started a trucking company that grossed $2.9 million in under 3 years and later formed a development company and successfully finished a He is also the and president of Transcend Energy Group, which is in final stages of development for a patented combustion engine Daria Jones Chief Operating Officer Daria’s leadership experience stems from a wide breadth of working experience in several Early on, she worked in management cleaning services, fitness training, youth care, and elderly home health She forayed in the automotive industry starting as a customer care service technician and working her way into the auto glass She is also a certified general contractor, specializing in tiling, painting, and custom finish Daria is a passionate leader and also directs a women’s mentoring Craig Coad Senior Scientist & Inventor Craig is a seasoned inventor, with over different inventions in his portfolio, ranging from inventions in the biomedical industry to the realm of quantum Craig holds a Master of Science in Electrical Engineering and a degree in agriculture Brian Fur Electrical & Mechanical Design Bradley has over a decade of experience in design and mechanical He specializes in digital product development and is a skilled Solidworks Darin Frampton & VP of Manufacturing Darin owns a specialized machine shop in the area, with CNC milling machines and He has design and manufacturing experience in the aerospace, medical, and gun Upgrade to GIG Learn more about our retrofit Learn More About Contact Privacy Press © GIG All Rights   GIG Performance Skip to content Learn More About Contact Regenerative Power System Stop wasting energy, start capturing Learn More Convert Road Vibrations into % Green Energy Turning bumps in the road into jumps in EV Our technology captures up and down motions generated from shock systems on moving vehicles and generate energy at the LEARN MORE Go the extra mile with GIG tech It may be hard to believe, but vertical movement in your shocks is a reliable source of energy, unfortunately lost to the road with every bump we GIG seeks to harness this power with minimal retrofit thanks to the new Roadkill LEARN MORE years industry experience % green retrofit technology efficient power generation Upgrade to GIG Learn more about our retrofit Name Email Message Send Learn More About Contact Privacy Press © GIG All Rights   GIG Performance | Contact | Official Site Skip to content Learn More About Contact Name Email Message Send Upgrade to GIG Learn more about our retrofit Learn More About Contact Privacy Press © GIG All Rights ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221213124715/https://www.gigperformance.com/', 'timestamp': '20221213124715'}",20221213124715.0,1.0
http://mykait.ai,74,crunchbase, Kait - AI for Small Businesses You need to enable JavaScript to run this ,startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230613182037/https://mykait.ai/', 'timestamp': '20230613182037'}",20230613182037.0,1.0
https://www.trova.health,27923,crunchbase,"White Papers - Trova Health Find An Expert Join Our Team Gift Cards Resources Blog White Papers WorkShop Login Clients - Login Experts - Login Find An Expert Join Our Team Gift Cards Resources Blog White Papers WorkShop Login Clients - Login Experts - Login White Papers Steps to Address Student Mental Health in the COVID Era and Beyond In , the Surgeon General issued a rare Advisory entitled, Protecting Youth Mental Health , which shed light on the decline of mental health among young Trova Health and its team of experts published this white paper to highlight how these issues are often exacerbated for young people living overseas, and how to best respond to the difficulties they Download White Paper X Subscribe to Join Our Growing Community About Trova Health is the world’s first digital health and wellness company created specifically for expats, providing mental health and remote care services around the Contact Connect © Trova Health, All Rights Privacy Terms and Conditions We use cookies on our website to give you the most relevant experience by remembering your preferences and repeat By clicking “Accept All”, you consent to the use of ALL the However, you may visit ""Cookie Settings"" to provide a controlled Cookie Settings Accept All Manage consent Close Privacy Overview This website uses cookies to improve your experience while you navigate through the Out of these, the cookies that are categorized as necessary are stored on your browser as they are essential for the working of basic functionalities of the We also use cookies that help us analyze and understand how you use this These cookies will be stored in your browser only with your You also have the option to of these But opting out of some of these cookies may affect your browsing Necessary Necessary Always Enabled Necessary cookies are absolutely essential for the website to function These cookies ensure basic functionalities and security features of the website, Cookie Duration Description months This cookie is set by GDPR Cookie Consent The cookie is used to store the user consent for the cookies in the category ""Analytics"". months The cookie is set by GDPR cookie consent to record the user consent for the cookies in the category ""Functional"". months This cookie is set by GDPR Cookie Consent The cookies is used to store the user consent for the cookies in the category ""Necessary"". months This cookie is set by GDPR Cookie Consent The cookie is used to store the user consent for the cookies in the category ""Other. months This cookie is set by GDPR Cookie Consent The cookie is used to store the user consent for the cookies in the category ""Performance"". viewed_cookie_policy months The cookie is set by the GDPR Cookie Consent plugin and is used to store whether or not user has consented to the use of It does not store any personal Functional Functional Functional cookies help to perform certain functionalities like sharing the content of the website on social media platforms, collect feedbacks, and other Performance Performance Performance cookies are used to understand and analyze the key performance indexes of the website which helps in delivering a better user experience for the Analytics Analytics Analytical cookies are used to understand how visitors interact with the These cookies help provide information on metrics the number of visitors, bounce rate, traffic source, Advertisement Advertisement Advertisement cookies are used to provide visitors with relevant ads and marketing These cookies track visitors across websites and collect information to provide customized Others Others Other uncategorized cookies are those that are being analyzed and have not been classified into a category as SAVE & ACCEPT bars instagram cross   Blog - Trova Health Find An Expert Join Our Team Gift Cards Resources Blog White Papers WorkShop Login Clients - Login Experts - Login Find An Expert Join Our Team Gift Cards Resources Blog White Papers WorkShop Login Clients - Login Experts - Login Blog Welcome to the Trova Health blog! Latest from the Blog The Benefits of Forming Habits for Strong Relationships Abroad General By Trova Development on September , When moving abroad, most people go through what is called the ‘honeymoon phase’. They are excited about their new surroundings and eager to explore their new Many start off with lots of positive energy, hoping to have a great experience and create beautiful, lasting For some people, they have long lists of all […] Read more 7 Strategies to Help Your Child Settle and Thrive at Their New School General By Trova Development on August , Moving schools can be extremely stressful for both parents and While some teens thrive at the prospect of starting again, others dread the idea of walking into a new school for the first If your child is about to start a new school, here are 7 strategies that can help: Give your child […] Read more Tips to Initiate Breastfeeding Successfully General By Trova Development on August , ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221218234050/https://www.trova.health/', 'timestamp': '20221218234050'}",20221218234050.0,1.0
https://sciencecast.org,66193,crunchbase,"Science Cast All fields Biology Physics All fields All fields Biology Computer Science Physics All fields Job Board Casts Casts Feed Sign Up Sign Up Log In My profile Log in New to ScienceCast? Click here to register Create account Log in with magic link Forgot your password? Didn t receive confirmation instructions? Terms About Contact © ScienceCast, In collaboration with arXiv Labs . Want to bring more visibility to your research? Upload your research presentation Spin waves and response in layered superconductors with helical magnetic structure By: Koshelev koshelev Likes (0) Comments (0) Views (16) We evaluate the spectrum and dynamic susceptibility in a layered superconductors with helical interlayer magnetic We especially focus on the structure in which the moments rotate ∘ from layer to layer realized in the iron more We evaluate the spectrum and dynamic susceptibility in a layered superconductors with helical interlayer magnetic We especially focus on the structure in which the moments rotate ∘ from layer to layer realized in the iron pnictide The spectrum in superconductors is strongly renormalized due to the electromagnetic interactions between the oscillating magnetic This leads to a strong enhancement of the frequency of the mode coupled with a uniform field and this enhancement exists only within a narrow range of the wave vectors of the order of the inverse London penetration The key feature of materials like RbEuFe4As4 is that this uniform mode corresponds to the maximum frequency of the spectrum with respect to the wave As a consequence, the surface resistance acquires a very distinct asymmetric feature spreading between the bare and renormalized We also consider the excitation of spin waves with Josephson effect in a tunneling contact between and conventional superconductors and study the interplay between the features and geometrical cavity resonances in the less Condensed Matter Physics December , 9:03pm Interplay between superconductivity and magnetic fluctuations in iron pnictide RbEuFe4As4 By: Koshelev koshelev Likes (0) Comments (0) Views (10) We consider a clean layered magnetic superconductor in which a continuous magnetic transition takes place inside superconducting state and the exchange interaction between superconducting and magnetic subsystems is weak so that superconductivity ... more We consider a clean layered magnetic superconductor in which a continuous magnetic transition takes place inside superconducting state and the exchange interaction between superconducting and magnetic subsystems is weak so that superconductivity is not destroyed at the magnetic An example of such material is We investigate the suppression of the superconducting gap and superfluid density by correlated magnetic fluctuations in the vicinity of the magnetic The influence of nonuniform exchange field on superconducting parameters is sensitive to the relation between the magnetic correlation length, ξh, and superconducting coherence length ξs defining the scattering (ξh<ξs) and smooth (ξh ξs) As a small uniform exchange field does not affect the superconducting gap and superfluid density at zero temperature, smoothening of the spatial variations of the exchange field reduces its effects on these We develop a quantitative description of this scattering-to-smooth crossover for the case of magnetic Since the probability varies at the energy scale comparable with the gap, the quasiclassical approximation is not applicable in the crossover region and microscopic treatment is We find that the corrections to both the gap and superfluid density grow proportionally to ξh until it remains much smaller than When ξh exceeds ξs, both parameters have much weaker dependence on Moreover, the gap correction may decrease with increasing of ξh in the vicinity of the magnetic We also find that the crossover is unexpectedly broad: the standard scattering approximation becomes sufficient only when ξh is substantially smaller than less Condensed Matter Physics December , 8:36pm Engineering prethermal symmetric Hamiltonians with polyfractal driving By: Ivar Martin, Kartiek Agarwal Ivar Martin Likes (1) Comments (1) Views (44) We construct a dynamical decoupling protocol for accurately generating local and global symmetries in general Multiple commuting and symmetries can be created by means of a (""polyfractal"") more We construct a dynamical decoupling protocol for accurately generating local and global symmetries in general Multiple commuting and symmetries can be created by means of a (""polyfractal"") The result is an effective Floquet Hamiltonian that remains local and avoids heating over exponentially long This approach can be used to realize a wide variety of quantum models, and quantum less Condensed Matter Physics December , 6:51pm Measurements in the Variational Quantum Eigensolver: Fluid Fermionic Fragments and Ghost Pauli Products By: Seonghoon Choi, Yen, Ignacio Loaiza, Artur Izmaylov afizmaylov Likes (1) Comments",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221222205637/https://www.sciencecast.org/', 'timestamp': '20221222205637'}",20221222205637.0,1.0
https://www.royal-connections.com,12455,crunchbase,"A Genuine Commitment | Royal Connections Home About Team Opportunities Teamwork The Dynamic of Royal Connections A Culture Designed for Teamwork is the driving force at Royal We come together as a team to support each other and help one another grow and We come together as a team, united, to bring awareness to social issues and help one another grow along the The culture can be summed up as an uplifting and environment in which our team thrives, supporting each other every step of the Meet the people who make it all possible: View Bio Chesney Ball Development Executive View Bio Logan Boudreaux Senior Account Executive View Bio Baylie Heft Assistant Director View Bio Madison Sherwood Junior Account Executive View Bio Dylan Johnson Junior Account Executive View Bio Hallie Gregory Junior Account Executive View Bio Andrew Henry Junior Account Executive View Bio Daniel Collins Junior Account Executive Chesney Ball Development Executive Chesney Ball is a Development Executive at Royal She was born in Jeffersonville, She currently still resides in southern What she enjoys the most about the company is the personal growth she gets to experience while also growing Her goal is to eventually be promoted to Director and open her own Her hobbies are going to art museums and family game Logan Boudreaux Senior Account Executive Logan Boudreaux is a Senior Account Executive at Royal He grew up in Baton Rouge Louisiana and currently lives in Louisville, One aspect of the business he appreciates is that everyone is provided with mentors through each step of the process, helping build better mentalities and an entrepreneurial He plans to eventually use the skills that he has learned here to build a business in the music He wants to give artists the creative freedom to release the music they want using music as a medium to inspire others to be the best version of Baylie Heft Assistant Director Baylie Heft is a Assistant Director at Royal She is from Saint Francisville, Louisiana, and currently lives in Louisville, What she enjoys the most about working at Royal Connections is being able to develop herself and “I have always been very ambitious and but have never had an opportunity to work somewhere that nurtures that aspect of my personality each day such as at Royal Helping other people realize their potential and achieve their goals is something I’m very passionate about and being able to do that each day here is something I’m very grateful for,” said In her free time, she likes to read, play board games, and spend time with friends and Madison Sherwood Junior Account Executive Madison Sherwood is a Junior Account Executive at Royal They are originally from Lexington, Kentucky, and now live in Their favorite thing about working with Royal Connections is the encouraging atmosphere and supportive work “I hope to grow into a strong Director and have my own office one day,” said Outside of work, they enjoy writing and spending time outdoors with friends and their pet Dylan Johnson Junior Account Executive Dylan Johnson is a Junior Account Executive at Royal He was born in Tennessee and currently lives in Louisville, What he enjoys the most about working at Royal Connections is being able to develop his “I get to develop myself professionally and personally as well as come to a job I love more than anything and do it with people who I consider family,” said His goal is to be promoted to director and bring the LEAD program to a new His hobbies are playing guitar and learning Hallie Gregory Junior Account Executive Hallie Gregory is a Junior Account Executive at Royal She was born and raised in Louisville, Her favorite part about working for Royal Connections is the She enjoys, “the team and supportive environment everyone wants to see you succeed,” said Her goal is to become a director and open her own In her free time Gregory enjoys attending music events, listening to music, walking her dog, and spending time with family and Andrew Henry Junior Account Executive Andrew Henry is a Junior Account Executive at Royal He was born and raised in Louisville, The culture at Royal Connections is what Henry enjoys the “I love working with my peers, I enjoy everyone here I feel like we built a culture worth fighting for!” said His longterm career goals are to become a director and start his own office while also becoming financially His hobbies are listening to music, hanging out with friends, acting, and theatre! Daniel Collins Junior Account Executive Daniel Collins is a Junior Account Executive at Royal He was born and raised in Louisville, His favorite part about working at Royal Connections is the community “I like being able to interact with the community and meet people who want as much change as I love being surrounded by people who are like minded and can teach me anything,” said His longterm goals are to become a “I want to be a director with one of the top 5 offices in the nation,” said His hobbies are playing basketball and spe",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221205133632/https://www.royal-connections.com/', 'timestamp': '20221205133632'}",20221205133632.0,1.0
https://novawatch.com,75553,crunchbase,"Managed Detection and Response - Novawatch Novawatch Solutions ▼ What We Offer The Right People, The Right Tools, Always On Watch The novawatch team is here to assist you through your entire managed security Reach out to us today and schedule a free consultation with one of our team Request A Demo Managed Detection & Response We’re here to help you protect your business from cyber threats, so you can focus on what matters most: Your View Package Comparison MDR Entry Start your journey to become cyber resilient, This package is for small to MDR Plus + Have more endpoints to manage? This package is for medium to large scale MDR Pro Get more out of your MDR solutions with our Pro solution, This package is for medium to large scale MDR Advanced Receive our complete solution offering, This package is for medium to large enterprise Independent Services Hosted SIEM SOAR Integration Network Detection Endpoint Detection Email Monitoring Web App Firewall Penetration Testing Novawatch For Elastic Security What We Offer The Right People, The Right Tools, Always On Watch Managed Security Solutions The novawatch team is here to assist you through your entire managed security Reach out to us today and schedule a free consultation with one of our team Request A Demo Managed Detection & Response Solutions MDR - Entry The perfect package to start your journey to become cyber resilient, This package is for small to MDR - Plus+ Have more endpoints to manage? This package is for medium to large scale MDR - Pro Get more out of your MDR solutions with our Pro solution, This package is for medium to large scale MDR - Advanced Receive our complete solution offering, This package is for medium to large enterprise Independent Services Hosted SIEM SOAR Integration Network Detection Endpoint Detection Email Monitoring Web App Firewall Penetration Testing Novawatch For Elastic Security Security Packages What We Offer The Right People, The Right Tools, Always On Watch Managed Security Solutions The novawatch team is here to assist you through your entire managed security Reach out to us today and schedule a free consultation with one of our team Request A Demo Managed Detection & Response Solutions MDR - Entry The perfect package to start your journey to become cyber resilient, This package is for small to MDR - Plus+ Have more endpoints to manage? This package is for medium to large scale MDR - Pro Get more out of your MDR solutions with our Pro solution, This package is for medium to large scale MDR - Advanced Receive our complete solution offering, This package is for medium to large enterprise Independent Services Hosted SIEM Hosted SIEM SOAR Integration Network Detection Endpoint Detection Email Monitoring Web App Firewall Penetration Testing Novawatch For Elastic Security Security Packages What We Offer The Right People, The Right Tools, Always On Watch Managed Security Solutions The novawatch team is here to assist you through your entire managed security Reach out to us today and schedule a free consultation with one of our team Request A Demo Security Packages Novawatch SIEM Solution Managed Detection & Response Packages We Offer MDR - Entry MDR - Plus MDR - Pro MDR - Advanced Resources & Guides Read Guide Company Info ▼ Who We Are The Right People, The Right Tools, Always On Watch The novawatch team is here to assist you through your entire managed security Reach out to us today and schedule a free consultation with one of our team Request A Demo Company Information About Us Blog Management Team Careers Security Operation Center Blog What Is MDR? Choosing The Right MSSP Careers Blog Events Compliance Services Customer Reviews Contact Us How It Works Request A Demo Homepage Managed Security Services MDR Entry MDR Plus MDR Pro MDR Advanced How It Works Blog Contact Us Company Menu Homepage Managed Security Services MDR Entry MDR Plus MDR Pro MDR Advanced How It Works Blog Contact Us Company MDR Plus Managed Detection and Response | Secure Your Business Managed Detection & Response With our Managed Detection and Response solution, we’ll help you identify threats, prioritize them, and then take care of the entire incident response When It Comes To MDR, our SOC analysts and security consultants at Novawatch are fully certified and have decades of experience helping organizations like yours stay safe from cyber Request A Free Demo MDR Solution Package Managed Detection & Response With Managed Detection and Response, You’re on the front You know how vital it is to have your network and systems That’s why you need a Managed Detection & Response solution that can help you stay current with the latest threats and be ready to respond quickly when an attack With clients and operations across the globe, we support a wide range of industry verticals from our headquarters in Scottsdale, Our team is completely based in the United States and is accessible to assist your environment hours a day, 7 days a week, Days A Service Key Benefits Enrich",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230127050747/https://novawatch.com/', 'timestamp': '20230127050747'}",20230127050747.0,1.0
https://mydigirecords.com,7524,crunchbase,"How it works – MyDigiRecords Skip to content How it works Leadership News Contact us Menu How it works Leadership News Contact us Managing health records has never been easier Some health plans and employers can offer MyDigiRecords as an added benefit to your benefits Check with your health plan administrator or employer to see if MyDigiRecords is part of your benefits If you’re with a health plan or employer group, and would like to learn more about partnering with MyDigiRecords to offer this benefit to your members or employees, Contact us to schedule a LEARN MORE Keeping track of your health records is now more flexible than ever Optical Character Recognition (OCR) To enter new records, users can use their phone’s camera to scan the medication’s label or visit record to import that pertinent information using Optical Character Recognition (OCR). For users that prefer voice, MyDigiRecords also supports entry, so users can simply speak the information to be Suggestions The user can simply start typing to see suggestions based on the type of Automated Record Entry If they’ve connected their email, MyDigiRecords can simply scan their email and pull in suggest records for the user to verify and Securely Share Your Records Users can share their records with healthcare providers or loved ones that are involved in their Users have complete control of what information is shared and who it’s shared MyDigiRecords can generate a secure QR Code or download their information to share Still Have Questions? Linkedin How it works News Contact us Privacy Policy Menu How it works News Contact us Privacy Policy © All rights   Leadership – MyDigiRecords Skip to content How it works Leadership News Contact us Menu How it works Leadership News Contact us Leadership MyDigiRecords is led by a team of experts across Health IT, Marketing, AI Blockchain and Public Health, who are passionate about improving healthcare around the Saroj Gupta FOUNDER, CEO Saroj Gupta is a Harvard graduate with over years of private practice and academic experience as an administrator and She is also an international speaker and a very seasoned entrepreneur who has run multiple startups She was a professor at the University of Missouri in Kansas City, Harvard, and University of She has an EMBA from Rockhurst Currently she is on boards of several organizations and advisors at multiple technology Brian Swann CHIEF OPERATING OFFICER Brian Swann served for years as the Chief of Oral Health for the Cambridge Health Introduce first ever “the oral physician” model with integrates oral health and primary The patient population was primarily adults who are poor and chronically Swann has DDS from the University of California, San Francisco and MPH for the School of Public Practicing general and emergency dentistry on vulnerable populations globally for over Currently an interim dean and assistant professor Harvard School of Dental Shekhar Gupta CHIEF TECHNOLOGY OFFICER Shekhar Gupta is a seasoned entrepreneur and public speaker, working as an interim He brings over years of software and hardware product and technology experience to the He has over patents and a BS in Electrical He is also the chairman of the board of directors for He consults with several blockchain web3 companies and is part of Metaverse standards Chris Humphreys CHIEF MARKETING OFFICER Chris is a seasoned marketing executive with over years of experience in building brands across a diverse set of industries, including healthcare, CPG, and He has a proven track record in developing successful marketing strategies and driving An established thought leader, Chris has written and spoken on topics ranging from the evolving role of machine learning and artificial intelligence in healthcare to the importance of consumer mindset in the consumer Linkedin How it works News Contact us Privacy Policy Menu How it works News Contact us Privacy Policy © All rights   News – MyDigiRecords Skip to content How it works Leadership News Contact us Menu How it works Leadership News Contact us Latest News Check out our latest press releases, mentions and links to articles about Featured Story: September 8, healthtech app announces funding from former JE Dunn CEO Funds from a new investment will help commercialize the MyDigiRecords app, its founder said, announcing critical new backing from one of Kansas City living entrepreneurial legends….. READ MORE September , KC health tech startup lands sizable investment from Terry Dunn For MyDigiRecords CEO and founder Saroj Gupta and Chief Marketing Officer Chris Humphreys, the recent investment is a “huge ” The money — and Terry Dunn’s guidance and connections — will help the startup get its app launched this READ MORE September 8, Meet six newly funded startups Digital Sandbox KC is making more fundable tomorrow Newly awarded funds are expected to help six more companies scale their fledgling startups past the stage, said Jill Meyer, touting Digital Sandbox KC’s track rec",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230304100659/https://mydigirecords.com/', 'timestamp': '20230304100659'}",20230304100659.0,1.0
https://buildinglens.com,989,crunchbase," BuildingLens Public Website Building Lens ® About Team Progress FAQ Contact BuildingLens ® Offering BuildingLens® is a software platform that prioritizes occupants health and comfort while maintaining operations in small and buildings (SMBs). BuildingLens® integrates with vetted existing Building Automation Systems (BAS) to provide building owners and operators a new level of oversight and The turnkey solution to optimal building management provided by BuildingLens ensures coherence in the fragmented SMB BAS BuildingLens® meets owners, consumers, and stakeholders expectations of what constitutes clean and safe indoor Who We Serve Small Buildings Quick Serve Restaurants Banks Residential Portfolios Mid Size Commercial Buildings Shopping Warehouse Stores Home Improvement Theatres Office Buildings Natatoriums Multi Tenant Schools Campus Multi Family Affordable Housing Multi Tenant Commercial © - BuildingLens ® An error has This application may no longer respond until Reload 🗙 ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221220064107/https://buildinglens.com/', 'timestamp': '20221220064107'}",20221220064107.0,1.0
https://www.neurosync.health,34078,crunchbase,"SyncThink Rebrands as NeuroSync, Eyes Neurological Healthcare Market Growth - NeuroSync What’s Included Literature Patents Careers Login Home Problem Solution Testimonials Product Neuro Health Brain Performance Science Literature References Eye Movements Patents About Our Blog Our Team Our Advisors Our Board Contact Us September , SyncThink Rebrands as NeuroSync, Eyes Neurological Healthcare Market Growth New Name Represents Future Opportunities in Diagnostics and Therapeutics Palo Alto, CA and Boston MA – (September , ) – SyncThink, a next generation neurotechnology company, and makers of the technology, announces today that it will rebrand the company as NeuroSync, as it looks to grow its stance in the neurological health With a new executive team, new products delivered and others under development, NeuroSync embarks upon accelerating its traction in the larger Neuro Healthcare In doing so, NeuroSync will leverage its market leading position with ’s core technology, its significant IP portfolio, broad array of clinical publications, and the extensive patient data it has accumulated through prior and ongoing clinical “NeuroSync represents a new chapter for our company,” said Chairman and CEO Gary “It is a strong reflection of what we have built and where we are headed in delivering diagnostic and therapeutic solutions for neuro health disorders around the Our proven ability to deliver objective and actionable data to providers, while expanding accessibility and outcomes for patients, positions us to transform the neuro health With our technology platform, clinical position, and value driven solutions, we are extremely enthused about the runway before us, as we relaunch the company and strategic direction under ” “Our evolution to NeuroSync highlights the bright future and vision of the company, while paying respect to our rich history of discovery and To that end, we felt that preserving the “Sync” in our name serves as a nod to both our past and future, while also accurately representing our proprietary synchronization metrics, AI and analytics,” stated Founder and CSO Jam Ghajar, MD, In recent months, NeuroSync has taken several steps to establish its position in the broader neuro health In February, it was chosen as a healthcare partner of Augmented Reality (AR) leader Magic Leap, where they will a platform for vestibular In August, received CE Mark certification to commercialize efforts into Currently, NeuroSync is sponsoring ongoing clinical studies toward the development of a biomarker identification platform for Attention Deficit Hyperactivity Disorder (ADHD), further expanding the reach and impact of its technology platform across the neuro health “The days of the imprecise diagnosis and treatment plan are Neurological providers and patients deserve better tools for better outcomes,” said “And, that’s exactly what we are going to ” The new company name will be accompanied by an updated style of branding marks, logos, and colors in order to reflect a more modern look and For more information, please visit: https: neurosync.health About NeuroSync, Inc: NeuroSync (fka SyncThink) is on a mission to provide objective neurological measurements that assist medical and performance professionals by assessing brain health, delivering therapies, and enhancing cognitive Harnessing the power of AI, NeuroSync develops revolutionary software and analytic technologies, delivered in a rapid, accurate, and easy to use XR Backed by more than publications and granted patents, NeuroSync products include customizable assessment workflows, dynamically immersive therapeutics, and multisensory training Trusted by over 4,000 providers at leading medical centers including Stanford and Massachusetts General and more than organizations across professional and collegiate sport, NeuroSync is transforming neurological care across the For more information, contact: Gary Gregory, Chairman and CEO Email: Ph: SHARE Home Product Science Literature Patents About Contact Privacy Policy Conformity Statements Get updates Leave this field empty if you re human: Careers Interested in joining a team that’s passionate about healthcare and XR technology? Click Here ©2022 NeuroSync We use cookies on our website to give you the most relevant experience by remembering your preferences and repeat By clicking “Accept All”, you consent to the use of ALL the However, you may visit ""Cookie Settings"" to provide a controlled Cookie Settings Accept All Manage consent Close Privacy Overview This website uses cookies to improve your experience while you navigate through the Out of these, the cookies that are categorized as necessary are stored on your browser as they are essential for the working of basic functionalities of the We also use cookies that help us analyze and understand how you use this These cookies will be stored in your browser only with your You also have the option to of these But opting out of some of these cookies may affect your brow",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221206151053/https://www.neurosync.health/', 'timestamp': '20221206151053'}",20221206151053.0,1.0
https://www.danehealth.ai,2607,crunchbase," Skip to content Investors Join Waitlist Menu Navigation Menu Search Navigation Menu Investors Join Waitlist Healthcare bridges the gap from the time lag of a concussion injury to assessment by a healthcare Digital Artificial Neural Equity (D.A.N.E.) HealthCare uses artificial intelligence and machine learning to synthesize data for patient and provider to make actionable steps while determining level of lifestyle impairments and implore prediction modeling on recovery timelines, return to work, school, INVESTORS JOIN BETA WAITLIST Our technology determines the severity of impairment compared to the normal Use of various signals to determine severity of injury, to help providers make appropriate care Giving healthcare providers better data to manage care and assist in facilitating proper Health was created to solve one of the many problems with brain injury Most often patients wait several days to weeks for concussions developing prolonged For those that do get emergency care and discharge the time for follow up care can be weeks to Assessment and guidance in the acute phase can help decrease risk of chronic concussion We aim to bridge the gap from the time lag of a concussion injury to assessment by a healthcare Our data will provide injury journey to the provider to make precise medical decisions Along the way we can help make recommendations whether emergency, urgent or routine care should be We can also provide general recommendations to help with recovery until a provider is We can provide information about the injury to maximize awareness Frequent assessments will provide data points on recovery timeline compared to normal The goal is to provide care to patients waiting to see a provider and bridge the gap in the recovery Machine Learning will be utilized to guide better predictions on injury to help provide timelines in recovery and will be enacted in other phases of development to improve overall care for brain injury JOIN BETA WAITLIST Healthcare business graph data and growth, Insurance Doctor analyzing medical of business report and medical examination with network connection on laptop Join Our Beta Waitlist! Be one of the first providers in the country to use this ground breaking Share you’re email and we will let you know when we are ready for Name (required) Email (required) By submitting your information, you re giving us permission to email You may unsubscribe at any Submit Want to Invest? Please provide your details and we will contact you soon! Name (required) Email (required) Phone (required) Contact Me Healthcare Neve | Powered by WordPress ",startup,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230312214545/http://danehealth.ai/', 'timestamp': '20230312214545'}",20230312214545.0,1.0
