,company,Founded Date,website,Headquarters Location,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,founding_year,org_uuid,snapshot_in_window
632,PlusMusic.ai,2020-01-01,https://www.plusmusic.ai,"San Diego, California, United States","Artificial Intelligence, Data and Analytics, Gaming, Media and Entertainment, Music and Audio, Science and Engineering, Software",1.0,Seed,2022-02-18,2450000.0,Seed,2450000.0,Private,,,,,,3,2020,8000,False
634,Peaze,2021-10-26,https://peaze.com,"Brooklyn, New York, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",1.0,Seed,2022-11-16,2115000.0,Pre-Seed,2115000.0,Private,,,,,,2,2021,8001,False
635,Wingback,2021-01-01,http://wingback.com,"San Francisco, California, United States","Other, Software",1.0,Seed,2021-11-02,2300000.0,Pre-Seed,2300000.0,Private,,,,,,2,2021,8002,False
645,Walrus.ai,2018-01-01,https://walrus.ai/,"San Francisco, California, United States","Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",1.0,M&A,2020-04-27,4000000.0,Seed,4000000.0,Private,,,,,,5,2018,8003,False
646,Nimbella,2018-09-25,https://nimbella.com,"Santa Clara, California, United States","Internet Services, Software",1.0,M&A,2018-12-31,4000000.0,Seed,4000000.0,Private,,,,,,5,2018,8004,False
660,Amplify Pictures,2018-01-01,https://amplifypics.com/,"Los Angeles, California, United States","Media and Entertainment, Video",1.0,,2023-07-06,50000000.0,Venture - Series Unknown,50000000.0,Private,,,,,,5,2018,8005,False
661,Elly,2019-02-01,https://www.ellyhealth.com,"Los Angeles, California, United States","Consumer Electronics, Hardware, Health Care, Information Technology",5.0,,2022-03-25,,Venture - Series Unknown,750000.0,Private,,,,,,4,2019,8006,False
665,Zenfetch,2022-01-01,https://www.zenfetch.com,"San Francisco, California, United States","Artificial Intelligence, Data and Analytics, Hardware, Sales and Marketing, Science and Engineering, Software",1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,Private,,,,,,1,2022,8007,False
673,Giftory,2023-01-01,https://www.giftory.com,"Washington, District of Columbia, United States","Commerce and Shopping, Other, Professional Services",1.0,,2023-06-01,10000000.0,Venture - Series Unknown,10000000.0,Private,,,,,,0,2023,8008,False
676,FuzzyBot,2020-11-01,https://www.fuzzybot.com/,"Los Angeles, California, United States",Gaming,2.0,Seed,2023-02-16,,Seed,3500000.0,Private,,,,,,3,2020,8009,False
677,One Stop Wellness,2018-12-01,http://www.onestopwellness.com,"San Antonio, Texas, United States","Administrative Services, Apps, Health Care, Software, Sports",4.0,Seed,2022-06-01,10000.0,Pre-Seed,908500.0,Private,,,,,,5,2018,8010,False
683,Impact Food,2021-01-01,https://eatimpactfood.com/,"San Francisco, California, United States","Biotechnology, Food and Beverage, Science and Engineering",1.0,Seed,2022-05-20,650000.0,Pre-Seed,650000.0,Private,,,0,0.0,,2,2021,8011,False
686,Array,2020-01-01,http://buildarray.com,"Lewes, Delaware, United States","Artificial Intelligence, Data and Analytics, Information Technology, Manufacturing, Professional Services, Sales and Marketing, Science and Engineering, Software",5.0,Seed,2021-04-20,1300000.0,Seed,2165756.0,Private,,,0,2.0,,3,2020,8012,False
696,CoreZero,2020-01-01,https://www.corezero.io/,"Miami, Florida, United States","Professional Services, Software, Sustainability",2.0,Seed,2023-06-15,,Seed,7000000.0,Private,,,,,,3,2020,8013,False
697,Curbside Health,2018-01-01,https://curbsidehealth.com/,"San Francisco, California, United States","Health Care, Professional Services, Software",5.0,Seed,2022-01-20,3700000.0,Seed,4950000.0,Private,,,,,,5,2018,8014,False
700,Total Life,2021-01-01,https://totallife.com/,"San Francisco, California, United States","Financial Services, Health Care, Information Technology, Software",1.0,Seed,2022-01-31,1500000.0,Seed,1500000.0,Private,,,,,,2,2021,8015,False
701,"Cyturus Technologies, Inc",2020-01-01,https://www.cyturus.com,"Addison, Texas, United States","Information Technology, Professional Services, Software",2.0,Seed,2023-04-15,1500000.0,Seed,1625000.0,Private,,,0,1.0,,3,2020,8016,False
703,Foundation,2022-01-01,https://www.getfoundation.com,"Bellevue, Washington, United States","Commerce and Shopping, Other",1.0,Seed,2023-05-01,3000000.0,Seed,3000000.0,Private,,,,,,1,2022,8017,False
709,MomentRanks,2021-03-01,https://momentranks.com/,"Atlanta, Georgia, United States","Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Payments, Software",2.0,Seed,2021-10-28,4200000.0,Seed,5900000.0,Private,,,,,,2,2021,8018,False
710,Identomat,2019-01-01,https://identomat.com/,"Champaign, Illinois, United States","Biotechnology, Data and Analytics, Financial Services, Science and Engineering",1.0,Seed,2022-01-17,3200000.0,Seed,3200000.0,Private,,,,,,4,2019,8019,False
711,Evernorth,2020-01-01,https://www.evernorth.com,"St Louis, Missouri, United States","Administrative Services, Health Care",,,,,,,Private,,,,,,3,2020,8020,False
719,Ethernal Labs,2022-01-01,https://ethernallabs.com/,"Miami Beach, Florida, United States","Blockchain and Cryptocurrency, Hardware, Other, Software",1.0,Seed,2022-02-10,20000000.0,Seed,20000000.0,Private,,,,,,1,2022,8021,False
721,Altera Investments,2018-01-01,http://www.alteraprivate.com/,"Atlanta, Georgia, United States","Financial Services, Lending and Investments",1.0,,2022-07-01,3500000.0,Undisclosed,3500000.0,Private,,,0,1.0,,5,2018,8022,False
722,Jemi,2020-01-01,https://jemi.so,"San Francisco, California, United States","Commerce and Shopping, Internet Services, Media and Entertainment, Sales and Marketing",1.0,Seed,2020-08-24,1700000.0,Seed,1700000.0,Private,,,,,,3,2020,8023,False
724,StrokeDx,2021-01-01,https://www.stroke-dx.com/,"Yorba Linda, California, United States","Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",3.0,,2023-09-28,25000.0,Grant,1724999.0,Private,,,0,0.0,,2,2021,8024,False
728,WATS,2022-01-01,https://www.getwats.com/,"New City, New York, United States","Software, Sustainability",2.0,Seed,2023-04-12,1440000.0,Pre-Seed,1540000.0,Private,,,,,,1,2022,8025,False
733,LavLabs,2018-07-23,https://lavlabs.com/,"Santa Monica, California, United States","Apps, Consumer Electronics, Gaming, Hardware, Internet Services, Media and Entertainment, Mobile, Software, Sports",2.0,Seed,2023-06-06,500000.0,Pre-Seed,3003250.0,Private,,,,,,5,2018,8026,False
735,Inspire Veterinary Partners,2020-01-01,https://www.inspirevet.com/,"Virginia Beach, Virginia, United States","Community and Lifestyle, Education, Health Care",1.0,IPO,2023-01-27,1041670.0,Venture - Series Unknown,1041670.0,Public,2023-08-30,6400000.0,,,,3,2020,8027,False
740,EngineEars,2018-01-01,https://engineears.com/,"Los Angeles, California, United States","Commerce and Shopping, Media and Entertainment, Music and Audio",1.0,Seed,2021-05-05,1000000.0,Pre-Seed,1000000.0,Private,,,,,,5,2018,8028,False
741,Code BGP,2021-01-01,https://codebgp.com/,"Virginia Beach, Virginia, United States",Software,1.0,M&A,2021-06-22,1500000.0,Seed,1500000.0,Private,,,,,,2,2021,8029,False
743,Myrtelle,2020-01-01,https://myrtellegtx.com/,"Wakefield, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering",1.0,,2021-06-24,13500000.0,Venture - Series Unknown,13500000.0,Private,,,,,,3,2020,8030,False
744,Aren,2019-01-01,http://www.aren.ai/,"New York, New York, United States","Artificial Intelligence, Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software",3.0,Seed,2021-09-20,2371996.0,Seed,2371996.0,Private,,,,,,4,2019,8031,False
748,Zevo,2021-12-05,https://www.zevo.com,"Plano, Texas, United States","Software, Sustainability",1.0,Seed,2022-07-01,2000000.0,Pre-Seed,2000000.0,Private,,,,,,2,2021,8032,False
766,Sequence,2021-01-01,https://sequence.film/,"San Diego, California, United States","Media and Entertainment, Software, Video",2.0,,2023-08-22,5565345.0,Venture - Series Unknown,5565345.0,Private,,,,,,2,2021,8033,False
770,Rushnu,2021-01-01,https://www.rushnu.com/,"Pleasanton, California, United States","Professional Services, Science and Engineering, Sustainability",2.0,Seed,2023-09-29,,Seed,100000.0,Private,,,,,,2,2021,8034,False
772,OceanWell,2019-01-01,https://www.oceanwellwater.com,"Los Angeles, California, United States","Energy, Natural Resources, Science and Engineering, Sustainability",2.0,Seed,2022-12-12,2000000.0,Seed,4000000.0,Private,,,,,,4,2019,8035,False
785,Hammr,2021-01-01,https://www.hammr.com,"San Francisco, California, United States","Information Technology, Internet Services, Real Estate",3.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,Private,,,,,,2,2021,8036,False
787,Industrial Next,2021-01-01,https://industrialnext.ai/,"San Francisco, California, United States","Manufacturing, Transportation",1.0,Seed,2022-06-28,12000000.0,Seed,12000000.0,Private,,,,,,2,2021,8037,False
791,Looped,2018-01-01,http://loopedlive.com,"New York, New York, United States",,2.0,Seed,2021-03-02,7700000.0,Seed,7700000.0,Private,,,1,0.0,Electric Communication Technique,5,2018,8038,False
793,Haystack,2020-01-01,https://www.usehaystack.io/,"San Francisco, California, United States","Data and Analytics, Software",2.0,Seed,2021-06-07,1200000.0,Seed,1200000.0,Private,,,,,,3,2020,8039,False
796,PTO Genius,2021-01-01,https://ptogenius.com/,"Miami, Florida, United States","Administrative Services, Health Care, Software",1.0,Seed,2021-09-01,1387500.0,Pre-Seed,1387500.0,Private,,,5,2.0,Computing; Calculating,2,2021,8040,False
799,Karuna Health,2018-03-13,https://meetkaruna.com/,"San Francisco, California, United States","Health Care, Other, Software",4.0,M&A,2020-10-21,,Non-equity Assistance,4700000.0,Private,,,0,1.0,,5,2018,8041,False
801,FundMiner,2022-08-01,http://www.FundMiner.com,"El Paso, Texas, United States","Education, Other, Social Impact, Software",1.0,Seed,2023-05-21,1725000.0,Seed,1725000.0,Private,,,,,,1,2022,8042,False
802,Odie Pet Insurance,2019-01-01,https://getodie.com/,"Agoura Hills, California, United States",,2.0,Early Stage Venture,2022-12-06,3000000.0,Series A,6000000.0,Private,,,0,1.0,,4,2019,8043,False
807,OptiFunder,2018-01-01,https://optifunder.com,"Creve Coeur, Illinois, United States",Financial Services,2.0,Early Stage Venture,2021-11-22,25000000.0,Series A,26000000.0,Private,,,,,,5,2018,8044,False
809,Two Front,2019-10-01,https://www.mytwofront.com,"Venice, California, United States",Health Care,3.0,Seed,2022-05-31,3500000.0,Seed,4875080.0,Private,,,0,1.0,,4,2019,8045,False
812,HCW Biologics,2018-04-01,http://www.hcwbiologics.com,"Miramar Beach, Florida, United States","Biotechnology, Health Care, Science and Engineering",5.0,IPO,2023-04-21,26250000.0,Debt Financing,65518320.0,Public,2021-07-19,285200000.0,,,,5,2018,8046,False
817,ScopeStack,2018-01-01,https://scopestack.io/,"Greenville, South Carolina, United States","Information Technology, Software",4.0,Early Stage Venture,2023-04-25,1500000.0,Series A,2050000.0,Private,,,0,1.0,,5,2018,8047,False
821,Curavit Clinical Research,2019-01-01,https://curavitclinicalresearch.com/,"Boston, Massachusetts, United States",Health Care,1.0,Early Stage Venture,2022-11-14,5000000.0,Series A,5000000.0,Private,,,,,,4,2019,8048,False
824,Demand Sage,2019-01-01,https://www.demandsage.com/,"Boston, Massachusetts, United States","Information Technology, Software",1.0,M&A,2020-09-17,3000000.0,Seed,3000000.0,Private,,,,,,4,2019,8049,False
825,TakeProfit,2021-01-01,https://www.takeprofit.com/,"San Francisco, California, United States","Financial Services, Information Technology",1.0,Seed,2022-07-05,3000000.0,Seed,3000000.0,Private,,,,,,2,2021,8050,False
833,Last Lock,2019-01-01,https://lastlock.com,"Madison, Wisconsin, United States","Administrative Services, Apps, Privacy and Security, Software",4.0,Seed,2022-10-31,1460000.0,Seed,2310000.0,Private,,,,,,4,2019,8051,False
834,Kaldea,2019-09-16,https://kaldea.com,"San Francisco, California, United States","Data and Analytics, Information Technology, Internet Services",2.0,Seed,2021-12-29,5064657.0,Seed,5064658.0,Private,,,,,,4,2019,8052,False
835,Lumos Technologies,2021-01-01,https://www.lumosdata.com,"Wilmington, North Carolina, United States","Data and Analytics, Financial Services",1.0,,2022-05-03,3000000.0,Venture - Series Unknown,3000000.0,Private,,,,,,2,2021,8053,False
839,SIREN,2020-01-01,https://siren.xyz,"San Francisco, California, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2.0,Seed,2021-03-01,4000000.0,Seed,5200000.0,Private,,,,,,3,2020,8054,False
840,Planet FWD,2019-01-01,https://planetfwd.com/,"San Francisco, California, United States","Consumer Goods, Sustainability",5.0,Early Stage Venture,2022-05-26,10000000.0,Series A,15200000.0,Private,,,,,,4,2019,8055,False
845,Freedom Biosciences,2021-01-01,https://www.freedombio.co/,"San Francisco, California, United States","Biotechnology, Health Care, Science and Engineering",2.0,,2023-02-14,,Venture - Series Unknown,10500000.0,Private,,,,,,2,2021,8056,False
846,Tomo,2020-01-01,https://www.hellotomo.com,"Stamford, Connecticut, United States",Financial Services,4.0,Early Stage Venture,2022-03-21,40000000.0,Series A,110000000.0,Private,,,,,,3,2020,8057,False
847,Syrup,2022-01-01,https://www.syrup.io,"Chagrin Falls, Ohio, United States","Other, Software",1.0,Seed,2023-05-23,3300000.0,Seed,3300000.0,Private,,,0,0.0,,1,2022,8058,False
848,Bespoken Spirits,2018-01-01,https://www.bespokenspirits.com/,"Menlo Park, California, United States","Commerce and Shopping, Food and Beverage, Manufacturing",2.0,,2022-12-12,6100990.0,Venture - Series Unknown,8700990.0,Private,,,3,0.0,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,5,2018,8059,False
862,Ksana Health,2019-01-01,https://ksanahealth.com/,"Eugene, Oregon, United States","Apps, Health Care, Software",1.0,Seed,2021-06-16,2000000.0,Seed,2000000.0,Private,,,1,1.0,,4,2019,8060,False
864,Slabstack,2021-12-29,https://www.slabstack.com/,"New York, New York, United States","Other, Real Estate, Software",1.0,,2023-03-27,3400000.0,Venture - Series Unknown,3400000.0,Private,,,0,0.0,,1,2021,8061,False
865,Cloudchipr,2022-07-01,https://cloudchipr.com,"Wilmington, Delaware, United States","Data and Analytics, Software",4.0,Seed,2023-04-05,500000.0,Pre-Seed,1250000.0,Private,,,,,,1,2022,8062,False
868,SiteOwl,2018-11-01,https://getsiteowl.com/,"Austin, Texas, United States","Administrative Services, Privacy and Security, Software",1.0,,2022-12-27,4020000.0,Venture - Series Unknown,4020000.0,Private,,,,,,5,2018,8063,False
869,Ocurate,2021-01-01,https://www.ocurate.com,"San Francisco, California, United States","Artificial Intelligence, Commerce and Shopping, Data and Analytics, Science and Engineering, Software",1.0,Seed,2021-12-22,3500000.0,Seed,3500000.0,Private,,,,,,2,2021,8064,False
876,Elephant Energy,2021-01-01,https://www.elephantenergy.us/,"Harrisburg, Pennsylvania, United States","Energy, Natural Resources, Sustainability",1.0,Seed,2022-11-30,3500000.0,Seed,3500000.0,Private,,,,,,2,2021,8065,False
879,Goldenset Collective,2022-01-01,https://www.goldenset.com,"Los Angeles, California, United States","Information Technology, Media and Entertainment, Other, Professional Services",1.0,Seed,2023-01-18,10000000.0,Seed,10000000.0,Private,,,,,,1,2022,8066,False
881,VAULT,2018-01-01,https://vault.fan/,"Mamaroneck, New York, United States","Apps, Media and Entertainment, Mobile, Music and Audio, Software, Sports",5.0,Early Stage Venture,2023-02-09,4000000.0,Series A,13450000.0,Private,,,0,2.0,,5,2018,8067,False
887,Capoom,2020-10-10,http://capoom.com/,"San Francisco, California, United States","Artificial Intelligence, Data and Analytics, Gaming, Hardware, Internet Services, Navigation and Mapping, Real Estate, Science and Engineering, Software",2.0,Seed,2022-10-01,500000.0,Seed,1030000.0,Private,,,,,,3,2020,8068,False
890,OCEANIX,2018-01-01,https://oceanix.com,"New York, New York, United States","Natural Resources, Science and Engineering",3.0,,2022-01-01,,Venture - Series Unknown,4099999.0,Private,,,,,,5,2018,8069,False
894,Brown Venture Group,2018-01-01,https://brownventuregroup.com/,"Minneapolis, Minnesota, United States","Financial Services, Lending and Investments",1.0,,2022-08-16,1500000.0,Grant,1500000.0,Private,,,,,,5,2018,8070,False
901,NPCx,2020-01-01,https://npcx.ai,"Bonita Springs, Florida, United States","Consumer Electronics, Hardware",2.0,Seed,2023-08-29,3000000.0,Seed,3544138.0,Private,,,,,,3,2020,8071,False
